AFF_LOVE_POINT	금슬 : %d%%
CANNOT_SKILL_USE_SELF	나에게는 사용할 수 없어
CANNOT_SKILL_WAIT_COOLTIME	아직 사용할 수 없어
CANNOT_WHISPER_DEST_REFUSE	%s 님은 귓말 거부 상태 입니다	SA
CANNOT_WHISPER_NOT_LOGON	%s 님은 접속중이 아닙니다	SA
CANNOT_WHISPER_SELF_REFUSE	귓말 거부 상태에서는 귓말을 보낼 수 없습니다	SNA
CHANNEL	채널
CHANNELING_CANNOT_LOGOUT	로그인 화면으로 나갈 수 없습니다.
CHANNEL_EMPTY_SERVER	서버 없음
CHANNEL_NORMAL	채널 %d      
CHANNEL_NOT_FIND_INFO	채널 정보를 찾을수가 없습니다
CHANNEL_PVP	자유대결    
CHANNEL_SELECT_CHANNEL	채널을 선택해 주세요
CHANNEL_SELECT_REGION	결제구역을 선택해 주세요
CHANNEL_SELECT_SERVER	서버를 선택해 주세요
CHANNEL_TEST_SERVER	테스트서버
CHANNEL_TEST_SERVER_ADDR	테스트 %s:%d
CHAT_ALL	전체
CHAT_BLOCK	차단
CHAT_GUILD	길드
CHAT_INFORMATION	정보
CHAT_INSULT_STRING	부적절한 단어가 포함된 문장입니다
CHAT_LOG	지나간 대화 보기[L]
CHAT_LOG_TITLE	지나간 대화 보기
CHAT_NORMAL	일반
CHAT_NOTICE	공지
CHAT_PARTY	파티
CHAT_SEND_CHAT	채팅 보내기
CHAT_SEND_MEMO	쪽지 보내기[Shift+Enter]
CHAT_SHOUT	외침
CHAT_SHOUT_LIMIT	외치기는 15초에 한번씩 할 수 있습니다
CHAT_WHISPER	귓말
CREATE_ERROR_GM_NAME	'운영'이 포함된 이름은 사용 할 수 없습니다
CREATE_ERROR_INSULT_NAME	부적절한 이름입니다
CREATE_EXIST_SAME_NAME	같은 이름을 가진 캐릭터가 있습니다
CREATE_FAILURE	캐릭터를 만들 수 없습니다
CREATE_GM_NAME	운영
CREATE_INPUT_NAME	이름을 입력 하십시오
CREATE_PLUS_STAT	포인트가 아직 남아있습니다
DAY	일
DO_YOU_DROP_MONEY	%d 냥을 버리시겠습니까?
DROP_ITEM_FAILURE_EQUIP_ITEM	장착 중인 아이템은 버릴 수 없습니다
DROP_ITEM_FAILURE_PRIVATE_SHOP	개인 상점을 열고 있는 동안에는 아이템을 버릴수 없습니다.
DROP_MONEY_FAILURE_1000_OVER	1000냥 이상은 버릴 수 없습니다
EMOTION_DANCE_1	댄스1
EMOTION_DANCE_2	댄스2
EMOTION_DANCE_3	댄스3
EMOTION_DANCE_4	댄스4
EMOTION_DANCE_5	댄스5
EMOTION_CONGRATULATION	축하
EMOTION_FORGIVE	용서
EMOTION_ANGRY	화냄
EMOTION_ATTRACTIVE	유혹
EMOTION_SAD	슬픔
EMOTION_SHY	부끄럼
EMOTION_CHEERUP	응원
EMOTION_BANTER	놀림
EMOTION_JOY	기쁨
EMOTION_CHEERS_1	환호 1
EMOTION_CHEERS_2	환호 2
EMOTION_CHOOSE_ONE	상대를 선택하십시오
EMOTION_CLAP	박수
EMOTION_CLAP_KISS	키스
EMOTION_FRENCH_KISS	프렌치 키스
EMOTION_SLAP	따귀
EMPIRE_A	신수국
EMPIRE_B	천조국
EMPIRE_C	진노국
EXCHANGE_CANNOT_GIVE	교환 할 수 없는 아이템 입니다
EXCHANGE_CANT_EDIT_MONEY	결정하신 액수는 변경할 수 없습니다
EXCHANGE_FAILURE_EQUIP_ITEM	장착 중인 아이템은 교환할수 없습니다
EXCHANGE_MONEY	교환 액수
EXCHANGE_TITLE	%s 님과의 교환
FISHING_FAILURE	고기가 미끼만 빼먹고 잽싸게 도망쳤습니다
FISHING_UNKNOWN	무엇이 잡힌지 모르겠다
FISHING_WRONG_PLACE	낚시를 할 수 있는 곳이 아닙니다
GAME_CANNOT_MINING	말을 타고서 채광을 할 수 없습니다.
GAME_CANNOT_PICK_ITEM	소유권이 없어 아이템을 집을 수 없습니다
GAME_INIT_ERROR_CURSOR	커서 생성에 실패했습니다.
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 이상이 깔려 있지 않아 게임 실행을 할 수 없습니다.\nDirectX 8.1 이상을 설치하십시오.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	게임 실행에 적합한 그래픽 장치를 찾을수 없습니다.\n게임이 실행되기에 적합한 카드가 설치되어있는지 확인하십시오.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	그래픽 장치 생성에 실패했습니다.\n게임이 실행되기에 적합한 그래픽 카드가 설치되어있는지 확인하십시오.\n또는 하드웨어 가속이 켜져있는지 확인하십시오.\n(제어판->디스플레이->설정 의 고급버튼\n->문제 해결 탭에서 하드웨어 가속을 '최대'로 설정)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	사용하고 계신 시스템의 그래픽 카드는 32비트 모드에서 창모드를 지원하지 않습니다.\n16비트 모드로 전환하시거나 전체 화면 모드를 사용하시기 바랍니다.
GAME_INIT_ERROR_ITEM_PROTO	아이템 데이터가 없습니다.\n게임을 다시 설치하십시오.
GAME_INIT_ERROR_MAIN_WINDOW	메인 창 생성에 실패했습니다.
GAME_INIT_ERROR_MOB_PROTO	몬스터 데이터가 없습니다.\n게임을 다시 설치하십시오.
GAME_INIT_ERROR_NETWORK	네트워크 장치 생성에 실패했습니다.\n인터넷 연결상태를 점검해보세요.
GAME_PICK_MONEY	%d 냥을 획득했습니다
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	세로크기가 128이 아닙니다
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	세로크기가 12이 아닙니다
GUILDMARK_UPLOADER_ERROR_16_WIDTH	가로크기가 16이 아닙니다
GUILDMARK_UPLOADER_ERROR_64_WIDTH	가로크기가 64가 아닙니다
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	지원되는 이미지 파일이 아닙니다
GUILDMARK_UPLOADER_ERROR_PATH	metin2/upload 폴더에 파일을 넣어주세요
GUILDMARK_UPLOADER_ERROR_SELECT	선택된 이미지 파일이 없습니다
GUILDWAR_CTF_TITLE	수호전
GUILDWAR_NORMAL_TITLE	패왕전
GUILDWAR_QUESTION_LINE_1	%s 길드에서 길드전 신청을 하셨습니다.
GUILDWAR_QUESTION_LINE_2	응전 하시겠습니까? (%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	맹장전
GUILD_BUILDING_GRADE	등급
GUILD_BUILDING_NAME	건물 이름
GUILD_CANNOT_HEAL_GSP_ANYMORE	용신력을 회복할 필요가 없습니다
GUILD_COMMENT	글 올리기
GUILD_CREATE_ERROR_INSULT_NAME	길드 이름으로 사용하기에 부적절합니다
GUILD_DEFAULT_GRADE	길드원
GUILD_DELETE	지우기
GUILD_DEPOSIT	입금
GUILD_DO_YOU_HEAL_GSP	%d냥을 사용하여 용신력을 %d만큼 회복하시겠습니까?
GUILD_DO_YOU_JOIN	 길드에 가입 하시겠습니까?
GUILD_EMPTY_AREA	비어 있는 땅
GUILD_ENEMY_GUILD_NAME	상대 길드명
GUILD_GEM	보석
GUILD_HEAL_GSP	용신력 회복
GUILD_INFO_ENEMY_GUILD_EMPTY	없음
GUILD_NAME	길드 이름
GUILD_NOT_ENOUGH_MATERIAL	재료가 부족하여 건물을 지을 수 없습니다
GUILD_NOT_ENOUGH_MONEY	돈이 부족하여 건물을 지을 수 없습니다
GUILD_NO_NOTICE_PERMISSION	공지권한이 없습니다
GUILD_OFFER_EXP	투자 할 경험치
GUILD_SHORT_EXP	경험치가 부족합니다
GUILD_TILE_BASEINFO	기지 정보
GUILD_TILE_BOARD	게시판
GUILD_TILE_GRADE	직위 관리
GUILD_TILE_INFO	길드 정보
GUILD_TILE_MEMBER	길드원
GUILD_TILE_SKILL	길드 스킬
GUILD_WAR_LIMIT_30MIN	전투 시간 30분
GUILD_WAR_REWARD_POTION	승리시 물약 보상
GUILD_WAR_USE_BATTLE_MAP	전쟁터 사용
GUILD_WAR_USE_NORMAL_MAP	일반맵 사용
GUILD_WAR_WIN_CHECK_SCORE	점수가 높은 길드가 승리
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	상대편 깃발을 자신의
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	기지로 가져오면 승리
GUILD_WAR_WIN_WIPE_OUT_GUILD	상대 길드 전멸시 승리
GUILD_WITHDRAW	출금
GUILD_YOU_DO_NOT_JOIN	길드에 속해 있지 않습니다
GUILD_HEADQUARTER	본건물
GUILD_FACILITY	기능건물
GUILD_OBJECT	조경물
HORSE_HEALTH0	죽었음
HORSE_HEALTH1	허기짐
HORSE_HEALTH2	배고픔
HORSE_HEALTH3	배부름
HORSE_LEVEL1	초급말
HORSE_LEVEL2	중급말
HORSE_LEVEL3	고급말
HOUR	시간
INPUT_MATRIX_CARD_NUMBER	매트릭스 카드 번호 입력
INPUT_MATRIX_CARD_TITLE	매트릭스 카드
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	주민등록번호 뒷자리 7글자를 입력해주십시오
INPUT_PRIVATE_CODE_DIALOG_TITLE	캐릭터 삭제
INVENTORY_DO_NOT_PACK_WARP_SCROLL	귀환기억부는 합칠 수 없습니다
INVENTORY_REALLY_USE_ITEM	아이템을 사용하시겠습니까?
JOB_ASSASSIN	자객
JOB_ASSASSIN0	견습자객
JOB_ASSASSIN1	비살군
JOB_ASSASSIN2	강노군
JOB_SHAMAN	무당
JOB_SHAMAN0	견습무당
JOB_SHAMAN1	천룡군
JOB_SHAMAN2	광뢰군
JOB_SURA	수라
JOB_SURA0	견습수라
JOB_SURA1	환무군
JOB_SURA2	흑마군
JOB_WARRIOR	무사
JOB_WARRIOR0	견습무사
JOB_WARRIOR1	나한군
JOB_WARRIOR2	별기군
LEFT_TIME	남은 시간
LOGIN_CONNECT_FAILURE	서버 접속에 실패했습니다
LOGIN_CONNECT_SUCCESS	서버 접속에 성공했습니다
LOGIN_CONNETING	서버에 접속 중 입니다
LOGIN_FAILURE_ALREAY	해당 계정이 이미 접속해 있습니다
LOGIN_FAILURE_BE_SAME_KEY	로그인에 문제가 발생하였습니다.
LOGIN_FAILURE_BLOCK_ID	블럭중인 계정입니다
LOGIN_FAILURE_NOBILL	사용기간 결제가 되지 않은 계정 입니다.
LOGIN_FAILURE_NOT_AVAIL	아직 사용할 수 없는 계정 입니다.
LOGIN_FAILURE_NOT_EXIST_ID	입력하신 아이디는 없습니다
LOGIN_FAILURE_REPAIR_ID	현재 아이템 복구 중인 계정입니다
LOGIN_FAILURE_SHUTDOWN	서버가 아직 오픈 되지 않았습니다
LOGIN_FAILURE_TOO_MANY_USER	접속자가 많아 접속할 수 없습니다
LOGIN_FAILURE_UNKNOWN	알 수 없는 이유로 로그인에 실패했습니다
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	번호 입력이 잘못 되었습니다
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	번호 입력이 3번 틀려 접속을 종료합니다
LOGIN_FAILURE_WRONG_PASSWORD	패스워드가 틀렸습니다
LOGIN_INPUT_ID	아이디를 입력해주세요
LOGIN_INPUT_PASSWORD	비밀번호를 입력해주세요
LOGIN_PROCESSING	로그인 중 입니다
MALL_CANNOT_INSERT	아이템 몰에는 아이템을 넣을 수 없습니다
MALL_PASSWORD_TITLE	비밀 번호
MAP_A1	영안읍성
MAP_A2	승룡곡
MAP_A3	자양현
MAP_AG	중랑현
MAP_B1	조안읍성
MAP_B2	임지곡
MAP_B3	복정현
MAP_BG	와룡현
MAP_C1	평무읍성
MAP_C2	방산곡
MAP_C3	박라현
MAP_CG	임하현
MAP_DESERT	영비사막
MAP_FLAME	도염화지
MAP_SKELTOWER	사귀탑
MAP_SNOW	서한산
MAP_SPIDER	거미굴
MAP_TEMPLE	밀교사원
MAP_TREE	귀목림
MESSENGER_ADD_FRIEND	친구 추가
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s님이 친구 등록을 요청하셨습니다
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	수락 하시겠습니까?
MESSENGER_DO_YOU_DELETE	정말로 삭제 하시겠습니까?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	핸드폰 번호를 지우시겠습니까?
MESSENGER_DO_YOU_MOVE	이동 하시겠습니까?
MESSENGER_EMPTY_LIST	비어있음
MESSENGER_FAMILY	가족
MESSENGER_FRIEND	친구
MESSENGER_GUILD	길드
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	핸드폰 메세지로 받으신 인증 번호를 입력해 주십시오
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	인증 번호 입력
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	핸드폰 번호를 입력하지 않으시면 메세지를 보낼 수 없습니다
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	지금 번호를 입력하시겠습니까?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	핸드폰 번호 입력
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	보낼 문자 메세지
MINIMAP	미니맵
MINIMAP_CANNOT_SEE	미니맵을 볼 수 없습니다
MINIMAP_CAN_NOT_SHOW_AREAMAP	전체지도를 볼 수 없습니다
MINIMAP_DEC_SCALE	축소
MINIMAP_INC_SCALE	확대
MINIMAP_OBSERVER_COUNT	관람자 %d 명
MINIMAP_SHOW_AREAMAP	전체지도 보기
MINUTE	분
MONEY_INPUT_DIALOG_SELLPRICE	판매가격 : 
MOVE_ITEM_FAILURE_PRIVATE_SHOP	개인 상점을 열고 있는 동안에는 아이템 위치를 바꿀 수 없습니다
MUSIC_EMPTY_MUSIC_LIST	음악 파일이 존재하지 않습니다
MUSIC_METIN2_DEFAULT_THEMA	메틴2 기본 테마
MUSIC_NOT_SELECT_MUSIC	선택된 음악 파일이 없습니다
NEEFD_REST	휴식필요
NOT_YET_SUPPORT	아직 지원되지 않습니다
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	길드에 속해 있지 않으면 길드 모드는 설정할 수 없습니다
OPTION_PVPMODE_NOT_SUPPORT	PvP 모드 설정은 현재 사용하실 수 없습니다.
OPTION_PVPMODE_PROTECT	%d레벨 이상만 PvP 모드 설정이 가능합니다.
PARTY_BONUS_ATTACKER	공격력 : +%d	SA
PARTY_BONUS_BERSERKER	공격 속도 : +%d	SA
PARTY_BONUS_BUFFER	스킬 지속 시간 : +%d	SA
PARTY_BONUS_DEFENDER	방어력 : +%d	SA
PARTY_BONUS_EXP	보너스 경험치 : %d%%	SA
PARTY_BONUS_SKILL_MASTER	최대 정신력 : +%d	SA
PARTY_BONUS_TANKER	최대 생명력 : +%d	SA
PARTY_BREAK_UP	파티 해산
PARTY_DO_YOU_ACCEPT	님이 파티 가입 신청을 하셨습니다.
PARTY_DO_YOU_JOIN	님의 파티 초대를 수락 하시겠습니까?
PARTY_EXP_DISTRIBUTION_MODE	경험치 분배 방식
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	레벨에 따라
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	레벨이 높을 수록 경험치를 많이 나눠 갖는다
PARTY_EXP_DISTRIBUTION_MODE_PARITY	균등하게
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	모든 파티원이 경험치를 균등하게 나눠 갖는다
PARTY_HEAL_ALL_MEMBER	전원 회복
PARTY_INCREASE_AREA_150	파티 영향 범위 1.5배 증가	SNA
PARTY_INCREASE_AREA_200	파티 영향 범위 2배 증가	SNA
PARTY_LEAVE	파티 탈퇴
PARTY_LONGTIME_BONUS_EXP	장시간 파티 보너스 경험치 : +%d%%	SA
PARTY_MEMBER_OFFLINE	[오프라인]
PARTY_RECALL_MEMBER	파티원 소환
PARTY_REGEN_BONUS	체력 정신력 회복량 보너스 : +%d%%	SA
PARTY_REQUEST_DENIED	파티 신청을 거부했습니다.
PARTY_SET_ATTACKER	어태커로 설정
PARTY_SET_BERSERKER	버서커로 설정
PARTY_SET_BUFFER	버퍼로 설정
PARTY_SET_DEFENDER	디펜더로 설정
PARTY_SET_NORMAL	능력 해제
PARTY_SET_SKILL_MASTER	스킬 마스터로 설정
PARTY_SET_TANKER	탱커로 설정
PARTY_SKILL_ATTACKER	어택커 기본 공격력 +%.0f
PARTY_SKILL_BERSERKER	버서커 공격 속도 +%.0f
PARTY_SKILL_BUFFER	버퍼 스킬 지속시간 +%.0f
PARTY_SKILL_DEFENDER	디펜더 방어력 +%.0f
PARTY_SKILL_HP_REGEN	생명력 회복속도 +%.0f%%
PARTY_SKILL_PARTY_AREA	파티 범위 +%d%%
PARTY_SKILL_SKILL_MASTER	스킬 마스터 최대 정신력 +%.0f
PARTY_SKILL_SP_REGEN	정신력 회복속도 +%.0f%%
PARTY_SKILL_TANKER	탱커 최대 생명력 +%.0f
PARTY_SKILL_WARP	파티원 소환 가능
PASSWORD_TITLE	창고 비밀 번호
PICK_ITEM_TITLE	집을 개수
PICK_MONEY_TITLE	집을 액수
PRIVATE_SHOP_CANNOT_SELL_ITEM	개인 상점에서 판매 할 수 없는 아이템 입니다
PRIVATE_SHOP_CLOSE_QUESTION	열고 계신 개인 상점을 닫으시겠습니까?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	개인 상점 이름 입력창
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	가격 입력창
PVP_LEVEL0	선왕
PVP_LEVEL1	영웅
PVP_LEVEL2	성자
PVP_LEVEL3	지인
PVP_LEVEL4	양민
PVP_LEVEL5	낭인
PVP_LEVEL6	악인
PVP_LEVEL7	마두
PVP_LEVEL8	패왕
PVP_MODE_GUILD	PvP 길드 모드로 설정되었습니다
PVP_MODE_KILL	PvP 자유 모드로 설정되었습니다
PVP_MODE_NORMAL	PvP 평화 모드로 설정되었습니다
PVP_MODE_PROTECT	PvP 보호 모드로 설정되었습니다
PVP_MODE_REVENGE	PvP 응징 모드로 설정되었습니다
PVP_OPTION_KILL	자유
PVP_OPTION_NORMAL	평화
PVP_OPTION_PROTECT	보호
PVP_OPTION_REVENGE	응징
QUEST_APPEND	새로운 퀘스트가 등록되었습니다
QUEST_MIN	분
QUEST_SEC	초
QUEST_TIMEOVER	제한 시간 초과
QUEST_UNLIMITED_TIME	제한 시간 없음
QUEST_ZEROSEC	0 초
QUICKSLOT_REGISTER_DISABLE_ITEM	퀵슬롯에 등록할 수 없는 아이템 입니다
RECEIVE_MESSAGE	%s 님으로부터 메세지가 왔습니다
REFINE_COST	개량 비용 : %d냥
REFINE_DESTROY_WARNING	개량에 실패 하면 아이템이 사라집니다
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	개량 확률이 높아지지만 개량에 실패 하면
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	아이템이 사라집니다. 시도하시겠습니까?
REFINE_DOWN_GRADE_WARNING	개량에 실패 하면 아이템 성능이 떨어집니다
REFINE_DO_YOU_SEPARATE_METIN	정말 영석을 떼어내시겠습니까?
REFINE_FAILURE	개량에 실패했습니다
REFINE_FAILURE_EQUIP_ITEM	장착 중인 아이템은 개량할 수 없습니다
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	떼어낼 수 있는 메틴석이 없습니다
REFINE_FAILURE_NEED_BETTER_SCROLL	더 좋은 개량서가 필요 합니다
REFINE_FAILURE_NO_MORE_SOCKET	더 이상 소켓을 뚫을 수 없습니다
REFINE_FAILURE_SOCKET_DISABLE_ITEM	소켓을 뚫을 수 없는 아이템 입니다
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	성능을 향상 시킬 수 없는 아이템 입니다
REFINE_SUCCESS	개량에 성공했습니다
REFINE_SUCCESS_PROBALITY	개량 성공 확률 : %d%%
REFINE_WARNING2	시도하시겠습니까?
SAFEBOX_ERROR	비밀 번호가 틀렸습니다.
SAFEBOX_SELL_DISABLE_SAFEITEM	창고에 있는 아이템은 판매할 수 없습니다
SAFEBOX_WRONG_PASSWORD	새 비밀 번호가 잘못 입력 되었습니다
SCREENSHOT_SAVE1	로 현재의 스크린샷을
SCREENSHOT_SAVE2	저장 했습니다.
SCREENSHOT_SAVE_FAILURE	스크린샷 저장에 실패 했습니다.
SECOND	초
SELECT_CAN_NOT_DELETE	캐릭터를 삭제할 수 없습니다
SELECT_CHANGED_NAME	캐릭터 이름이 변경 되었습니다
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	이미 존재하는 캐릭터 이름입니다
SELECT_CHANGE_FAILURE_STRANGE_INDEX	다시 시도해 주십시오
SELECT_CHANGE_FAILURE_STRANGE_NAME	잘못된 캐릭터 이름입니다
SELECT_CHANGE_NAME_TITLE	캐릭터 이름 변경
SELECT_DELEING	캐릭터 삭제 중
SELECT_DELETED	삭제되었습니다
SELECT_DO_YOU_DELETE_REALLY	정말 지우시겠습니까?
SELECT_EMPTY_SLOT	비어있는 슬롯입니다
SELECT_GM_NAME	운영
SELECT_INPUT_CHANGING_NAME	변경할 캐릭터 이름을 선택하십시오
SELECT_NOT_JOIN_GUILD	소속길드없음
SHOP_BUY_INFO	상점 창의 아이템을 선택하시면 아이템을 구입할 수 있습니다
SHOP_CANNOT_SELL_EQUIPMENT	장착 중인 아이템은 파실 수 없습니다
SHOP_CANNOT_SELL_ITEM	팔 수 없는 아이템 입니다
SHOP_ERROR_UNKNOWN	알 수 없는 상점 에러 : %s
SHOP_INVALID_POS	잘못된 아이템 입니다.
SHOP_INVENTORY_FULL	인벤토리에 남은 자리가 없습니다.
SHOP_NOT_ENOUGH_MONEY	돈이 부족합니다.
SHOP_SELL_INFO	인벤토리 창의 아이템을 선택하시면 아이템을 파실 수 있습니다
SHOP_SOLDOUT	재고가 없습니다.
SHOT_ERROR_UNKNOWN	알 수 없는 장거리 공격 에러 : %s
SKILL_BOHO	반사
SKILL_BUDONG	부동박부
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	이제부터는 경험을 통해서만 수련할 수 있습니다.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	이제부터는 책을 통해 수련하셔야 합니다.
SKILL_CHEONGEUN	천근추
SKILL_CRITICAL	2배 데미지
SKILL_ENCHANT_POISON	독 바르기
SKILL_EUNHYEONG	은형법
SKILL_FAINT	기절
SKILL_FIND_TRAP	함정찾기
SKILL_FIRE	지속 화염
SKILL_FISHMIND	어심환 사용중
SKILL_GAMJI	감지
SKILL_GEOMGYEONG	검경
SKILL_GEONGON	건곤치환
SKILL_GICHEON	기천대공
SKILL_GIGONG	기공술
SKILL_GONGPO	공포
SKILL_GRADE_NAME_GRAND_MASTER	%s 그랜드 마스터
SKILL_GRADE_NAME_MASTER	%s 마스터
SKILL_GRADE_NAME_PERFECT_MASTER	%s 퍼펙트 마스터
SKILL_GROUP_ASSASSIN_1	비살군
SKILL_GROUP_ASSASSIN_2	강노군
SKILL_GROUP_HORSE	승마
SKILL_GROUP_SHAMAN_1	천룡군
SKILL_GROUP_SHAMAN_2	광뢰군
SKILL_GROUP_SURA_1	환무군
SKILL_GROUP_SURA_2	흑마군
SKILL_GROUP_WARRIOR_1	나한군
SKILL_GROUP_WARRIOR_2	별기군
SKILL_GWIGEOM	귀검
SKILL_GYEONGGONG	경공술
SKILL_HEUKSIN	흑신수호
SKILL_HOSIN	호신
SKILL_HWAYEOM	화염참
SKILL_HYEOLMA	혈마각성
SKILL_INC_ATKSPD	공격속도 증가
SKILL_INC_MOVSPD	이동속도 증가
SKILL_INMA	인마합신
SKILL_JEOJU	저주
SKILL_JEONGEOP	정업인
SKILL_JEONGWI	전귀혼
SKILL_JEONSINBANGEO	전신방어
SKILL_JEONSINGONGGYEOK	전신공격
SKILL_JEUNGCHE	증체신법
SKILL_JEUNGHON	증혼지법
SKILL_JEUNGRYEOK	증력술
SKILL_JEUNGSOK	증속술
SKILL_JIGAM	지감대법
SKILL_JIPJUNG	집중방어
SKILL_JUMAGAP	주마갑
SKILL_JUMAGEOM	주마검
SKILL_KWAEGEOM	쾌검술
SKILL_KWAESOK	쾌속
SKILL_LEGBOUND	다리묶임
SKILL_MUSA	무사혼
SKILL_MUYEONG	무영진
SKILL_NEED_EMPTY_BOTTLE	빈병이 없어
SKILL_NEED_POISON_BOTTLE	독병이 없어
SKILL_ONLY_FOR_GUILD_WAR	길드전 중에만 사용 하실 수 있습니다
SKILL_PABEOP	파법술
SKILL_POWERFUL_STRIKE	스턴 공격
SKILL_SEOMGWANG	섬광탄
SKILL_SINCHAK	신착신공
SKILL_SLEEP	잠들기
SKILL_SLOW	슬로우
SKILL_STUN	스턴
SKILL_SUHO	수호전령
SKILL_SUMMON_DESCRIPTION	소환 성공 확률 : %d%%
SKILL_TOOLTIP_INT	지능
SKILL_TOOLTIP_LEVEL	레벨
SKILL_TOXICDIE	중독
SKILL_TOXICPOWER	독에 의한 공격력 증가
SKILL_TUSOK	투속마령
SKILL_WONSIN	원신보술
SKILL_YONGSIN	용신투호
STAT_MINUS_CON	체력 조정 (남은 기회 %d회)
STAT_MINUS_DEX	민첩 조정 (남은 기회 %d회)
STAT_MINUS_INT	지능 조정 (남은 기회 %d회)
STAT_MINUS_STR	근력 조정 (남은 기회 %d회)
STAT_TOOLTIP_CON	생명력과 방어력이 향상됩니다
STAT_TOOLTIP_DEX	명중률과 회피율이 향상됩니다
STAT_TOOLTIP_INT	정신력과 마법력이 향상됩니다
STAT_TOOLTIP_STR	공격력이 향상됩니다
SYMBOLLIST_TITLE	길드 심볼 등록
SYSTEM_OPTION_CPU_TILING_1	CPU 타일링 모드는 저사양에서 빠른 속도를 낼 수 있습니다
