VNUM	TYPE	MODEL	NAME	REG_1	REG_2	REG_3	REG_4	XROT_LIMIT	YROT_LIMIT	ZROT_LIMIT	PRICE	MATERIALS	NPC	GROUP	DEPEND_GROUP	CÔNG CÔòNG
//14144	OBJECT	ob-7-03-02	CýÒa chiình bãÌng gôÞ	-2.45	-192.41	695.53	192.41	0	0	360	2000000	90010,5/90011,20/90012,20	0	0	0	2
//14145	BUILDIN	ob1-set	HaÌng raÌo gôÞ (4)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	0	0	1
																
14200	OBJECT	guild_symbol	CõÌ hiêòu bang hôòi	-45.9	-9.44	42.68	40.13	0	0	360	3000000	90011,5/90012,5	0	0	1	1
14201	WALL	fence01_door01	HaÌng raÌo cýÒa chiình	-1000	-54	1000	20	0	0	360	3000000	90010.5	0	0	1	1
14202	WALL	fence01_back01	HaÌng raÌo týõÌng sau	-1000	-18	1000	18	0	0	360	3000000	90010.5	0	0	1	1
14203	WALL	fence01_left01	HaÌng raÌo týõÌng bên traìi	-19	-1362	19	1362	0	0	360	3000000	90010.5	0	0	1	1
14204	WALL	fence01_right01	HaÌng raÌo týõÌng bên phaÒi	-18	-1362	18	1362	0	0	360	3000000	90010.5	0	0	1	1
																
14300	OBJECT	general_obj_stone01	Ðaì 1	-116.04	-118.44	116.04	118.44	0	0	360	300000	90010,5	0	0	0	1
14301	OBJECT	general_obj_stone02	Ðaì 2	-118.05	-132.67	118.05	132.67	0	0	360	300000	90010,5	0	0	0	1
14302	OBJECT	general_obj_stone03	Ðaì 3	-133.43	-102.96	133.43	102.96	0	0	360	300000	90010,7	0	0	0	1
14303	OBJECT	general_obj_stone04	Ðaì 4	-104.21	-117.82	104.21	117.82	0	0	360	300000	90010,7	0	0	0	1
14304	OBJECT	general_obj_stone05	Ðaì 5	-171.59	-145.52	171.59	145.52	0	0	360	300000	90010,7	0	0	0	1
14305	OBJECT	general_obj_stone06	Ðaì 6	-192.74	-201.58	192.74	201.58	0	0	360	300000	90010,8	0	0	0	1
14306	OBJECT	general_obj_stone07	Ðaì 7	-183.58	-184.01	183.58	184.01	0	0	360	300000	90010,8	0	0	0	1
14307	OBJECT	general_obj_stone08	Ðaì 8	-66.89	-56.67	66.89	56.67	0	0	360	300000	90010,8	0	0	0	1
14308	OBJECT	general_obj_stone09	Ðaì 9	-65.87	-53.47	65.87	53.47	0	0	360	300000	90010,9	0	0	0	1
14309	OBJECT	general_obj_stone10	Ðaì 10	-182.17	-123.03	182.17	123.03	0	0	360	300000	90010,9	0	0	0	1
																
14400	OBJECT	B1_PagodaTree_RT	Cây 1					0	0	360	2000000	90011,5	0	0	0	1
14401	OBJECT	B1_PagodaTree_RT3	Cây 2					0	0	360	2000000	90011,5	0	0	0	1
14402	OBJECT	B1_Sassafras_RT_Fall	Cây 3					0	0	360	2000000	90011,7	0	0	0	1
14403	OBJECT	B1_Sassafras_RT_Fall2	Cây 4					0	0	360	2000000	90011,7	0	0	0	1
14404	OBJECT	B3_ShingleOak_RT2	Cây 5					0	0	360	2000000	90011,7	0	0	0	1
14405	OBJECT	B2_IvySpy_RT	Cây 6					0	0	360	2000000	90011,9	0	0	0	1
14406	OBJECT	B2_IvySpy_RT4	Cây 7					0	0	360	2000000	90011,9	0	0	0	1
14407	OBJECT	B2_JapaneseMaple_RT_Fall	Cây 8					0	0	360	2000000	90011,9	0	0	0	1
14408	OBJECT	B2_JapaneseMaple_RT_Fall2	Cây 9					0	0	360	2000000	90011,9	0	0	0	1
