ACCEPT	확정
GUILD_WAR_BATTLE_TYPE	전투 방식
GUILD_WAR_CTF	수호
GUILD_WAR_DECLARE	길드전 신청
GUILD_WAR_ENEMY	상대 길드
GUILD_WAR_NORMAL	패왕
GUILD_WAR_WARP	맹장
GUILD_WATER	물
GUILD_WATER_STONE	수석
GUILD_WITHDRAW	출금
HELP_ATTACK_KEY	- <Space> 또는 왼쪽 마우스 버튼으로 공격 할 수 있습니다
HELP_CHANGE_PK_MODE	- <Ctrl> + <B> 를 누르면 PK 모드를 바꿀 수 있습니다
HELP_CHARACTER_BUTTON1	(캐릭터, 인벤토리, 채팅
HELP_CHARACTER_BUTTON2	창을 엽니다)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	- 마우스 가운데 버튼으로는 아무때나 카메라를 조작 할 수 있습니다
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	- 컨트롤을 누른 상태에서 마우스 오른쪽 버튼으로 카메라를 조작 할 수 있습니다
HELP_EXP	경험치
HELP_FURY	열혈 게이지 (미구현)
HELP_GUILD_WINDOW	- <Alt> + <G> 키를 누르면 길드창을 열고 닫을 수 있습니다
HELP_HELP	- 도움말은 <H> 를 누르거나 시스템 메뉴에 있는 버튼으로 보실 수 있습니다
HELP_HP	생명력
HELP_MESSENGER_WINDOW	- <Alt> + <M> 키를 누르면 메신져 창을 열고 닫을 수 있습니다
HELP_MOUSE_LEFT	마우스 왼쪽 버튼 기능
HELP_MOUSE_RIGHT	마우스 오른쪽 버튼 기능
HELP_MOVE_KEY	- <W>, <S>, <A>, <D> 와 방향키로 이동 할 수 있습니다
HELP_OPEN_CHARACTER	- <C> 를 누르면 캐릭터 창이 열립니다
HELP_OPEN_CHAT	- <ENTER> 를 누르면 채팅 창이 열립니다
HELP_OPEN_INVENTORY	- <I> 를 누르면 인벤토리 창이 열립니다
HELP_OPEN_LOG	- <L> 을 누르면 지나간 대화를 보실 수 있습니다
HELP_OPEN_MINIMAP	- <Shift> + <M> 을 누르면 미니맵 창을 열고 닫을 수 있습니다
HELP_OPEN_QUEST	- <N> 를 누르면 퀘스트 창이 열립니다
HELP_OPEN_SKILL	- <V> 를 누르면 스킬 창이 열립니다
HELP_OPEN_WHISPER	- <Shift> + <ENTER> 를 누르면 쪽지 창이 열립니다
HELP_OPEN_ZONEMAP	- <M> 을 누르면 전체맵 창을 열고 닫을 수 있습니다
HELP_PICK_ITEM	- <~> 을 누르면 아이템을 습득할 수 있습니다
HELP_QUICKSLOT	퀵 슬롯
HELP_SCREEN_CAPTURE	- <Print Screen> 키를 누르면 스크린샷이 내문서/METIN2에 저장 됩니다
HELP_SHOW_ALL_NAME	- <Alt> 를 누르고 있으면 모든 캐릭터와 아이템의 이름이 표시 됩니다
HELP_SP	정신력
HELP_SYSTEM_BUTTON	시스템 버튼
INVENTORY_PAGE_BUTTON_TOOLTIP_1	첫번째 인벤토리
INVENTORY_PAGE_BUTTON_TOOLTIP_2	두번째 인벤토리
INVENTORY_TITLE	인벤토리
DRAGONSOUL_TITLE	용혼의 석
DRAGONSOUL_PAGE_BUTTON_1	일반
DRAGONSOUL_PAGE_BUTTON_2	화려
DRAGONSOUL_PAGE_BUTTON_3	희귀
DRAGONSOUL_PAGE_BUTTON_4	고대
DRAGONSOUL_PAGE_BUTTON_5	전설
DRAGONSOUL_ACTIVATE	활성화
DRAGONSOUL_REFINE_WINDOW_TITLE	용혼석 개량 및 강화
DRAGONSOUL_TAP_TITLE_1	백룡석(White Dragon Soul Stone)
DRAGONSOUL_TAP_TITLE_2	화룡석(Fire Dragon Soul Stone)
DRAGONSOUL_TAP_TITLE_3	풍룡석(Wind Dragon Soul Stone)
DRAGONSOUL_TAP_TITLE_4	철룡석(Iron Dragon Soul Stone)
DRAGONSOUL_TAP_TITLE_5	뇌룡석(Thunder Dragon Soul Stone)
DRAGONSOUL_TAP_TITLE_6	흑룡석(Dark Dragon Soul Stone)
REFINE_SELECT	강화 선택
REFINE_MONEY	강화 비용
DO_REFINE	강화 실행
GRADE	등급
STEP	단계
STRENGTH	강화
GRADE_SELECT	등급 선택
STEP_SELECT	단계 선택
STRENGTH_SELECT	강화 선택
LOAD_ERROR	데이터 파일이 깨졌습니다. 재설치해주시기 바랍니다. ESC키를 눌러주세요
LOGIN_CONNECT	접속
LOGIN_CONNECTING	서버에 접속중 입니다
LOGIN_DEFAULT_SERVERADDR	서버 이름, 채널 1
LOGIN_EXIT	끝내기
LOGIN_REGION_TITLE	결제 구역 선택
LOGIN_SELECT_BUTTON	선택
LOGIN_SELECT_EXIT	종료
LOGIN_SELECT_OK	확인
LOGIN_SELECT_TITLE	서버 선택
MALL_PASSWORD_TITLE	비밀 번호
MALL_TITLE	아이템 몰 창고
MARKET_TITLE	장터
MARKLIST_REFRESH	갱신
MARKLIST_TITLE	길드 마크 등록
MESSAGE	메세지 입니다
MESSENGER_ADD_FRIEND	친구 추가
MESSENGER_DELETE_FRIEND	친구 삭제
MESSENGER_MOBILE	문자 메세지 보내기
MESSENGER_OPEN_GUILD	길드창 열기
MESSENGER_TITLE	메신저
MESSENGER_USE_GUILD_MOVE_SKILL	길드 이동 스킬 사용
MESSENGER_WHISPER	귓말
MINIMIZE	최소화
MOUSEBUTTON_ATTACK	공격
MOUSEBUTTON_AUTO_ATTACK	자동
MOUSEBUTTON_CAMERA	카메라
MOUSEBUTTON_SKILL	스킬
MUSICLIST_TITLE	배경음악 목록
NO	아니오
OK	확인
OPTION_ALWAYS_SHOW_NAME	이름 보기
OPTION_ALWAYS_SHOW_NAME_OFF	일시
OPTION_ALWAYS_SHOW_NAME_ON	항상
OPTION_BLOCK	차단
OPTION_BLOCK_EXCHANGE	교환
OPTION_BLOCK_FRIEND	친구
OPTION_BLOCK_GUILD	길드
OPTION_BLOCK_PARTY	파티초대
OPTION_BLOCK_PARTY_REQUEST	파티가입
OPTION_BLOCK_WHISPER	쪽지
OPTION_CAMERA_DISTANCE	카메라
OPTION_CAMERA_DISTANCE_LONG	장거리
OPTION_CAMERA_DISTANCE_SHORT	단거리
OPTION_DELETE_MOBILE_BUTTON	번호 지우기
OPTION_EFFECT	타격 값
OPTION_FOG	안개
OPTION_FOG_DENSE	짙음
OPTION_FOG_LIGHT	옅음
OPTION_FOG_MIDDLE	중간
OPTION_INPUT_MOBILE_BUTTON	번호 입력
OPTION_MOBILE	핸드폰
OPTION_MUSIC	배경음
OPTION_MUSIC_CHANGE	바꾸기
OPTION_MUSIC_DEFAULT_THEMA	메틴2 기본 테마
OPTION_NAME_COLOR	이름색상
OPTION_NAME_COLOR_EMPIRE	제국색상
OPTION_NAME_COLOR_NORMAL	일반색상
OPTION_PVPMODE	PvP 모드
OPTION_PVPMODE_FREE	자유
OPTION_PVPMODE_FREE_TOOLTIP	모든 플레이어 공격이 가능합니다
OPTION_PVPMODE_GUILD	길드
OPTION_PVPMODE_GUILD_TOOLTIP	길드원을 제외한 모든 플레이어를 공격 가능합니다
OPTION_PVPMODE_PEACE	평화
OPTION_PVPMODE_PEACE_TOOLTIP	어떤 플레이어에게도 먼저 공격하지 않습니다(반격은 가능)
OPTION_PVPMODE_REVENGE	응징
OPTION_PVPMODE_REVENGE_TOOLTIP	다른 성향 플레이어만 공격 가능합니다
OPTION_SOUND	효과음
OPTION_TARGET_BOARD	적 메뉴
OPTION_TARGET_BOARD_NO_VIEW	안보기
OPTION_TARGET_BOARD_VIEW	보기
OPTION_TILING	타일링
OPTION_TILING_APPLY	적용
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	옵션
OPTION_VIEW_CHAT	채팅창
OPTION_VIEW_CHAT_OFF	안보기
OPTION_VIEW_CHAT_ON	보기
OPTION_SALESTEXT	판매문구
OPTION_SALESTEXT_VIEW_ON	보기
OPTION_SALESTEXT_VIEW_OFF	안보기
OPTION_SHADOW	그림자 품질
PARTY_MEMBER_INFO_NAME	파티멤버이름
PASSWORD_TITLE	창고 비밀 번호
PICK_MONEY_TITLE	집을 액수
PRIVATE_SHOP_CLOSE_BUTTON	닫기
PRIVATE_SHOP_NAME	상점 이름
PRIVATE_SHOP_TITLE	개인 상점 설치
REFINE_COST	개량 비용 : 0냥
REFINE_INFO	개량 성공 확률 : 100%
REFINE_TTILE	개량
RESTART_HERE	제자리에서 재시작
RESTART_TOWN	마을에서 재시작
SAFE_CHANGE_PASSWORD	비밀번호 변경
SAFE_TITLE	창고
SELECT_ATT_GRADE	근력
SELECT_CREATE	생성하기
SELECT_DELETE	지우기
SELECT_DEX_GRADE	민첩
SELECT_EMPIRE_NAME	나라이름
SELECT_EXIT	나가기
SELECT_HP	체력
SELECT_LEVEL	레벨
SELECT_METIN_STONE_TITLE	사용할 영석 선택
SELECT_NAME	이름
SELECT_NO_GUILD	소속길드없음
SELECT_PLAYTIME	플레이 시간
SELECT_SELECT	시작하기
SELECT_SP	지력
SELECT_TITLE	호칭
SHOP_BUY	사기
SHOP_SELL	팔기
SHOP_TITLE	상점
SKILL_SUPPORT_TITLE	보조
SYSTEMOPTION_TITLE	시스템 옵션
SYSTEM_CHANGE	캐릭터 전환하기
SYSTEM_EXIT	윈도우로 나가기
SYSTEM_HELP	도움말
SYSTEM_LOGOUT	로그 아웃
SYSTEM_MALL	아이템 몰
SYSTEM_OPTION	시스템 설정
TASKBAR_CHARACTER	캐릭터[C/V/B/N]
TASKBAR_CHAT	채팅창
TASKBAR_INVENTORY	인벤토리[I]
TASKBAR_MESSENGER	메신져
TASKBAR_NEXT_QUICKSLOT	뒤 퀵슬롯[shift+번호, alt]
TASKBAR_PREV_QUICKSLOT	앞 퀵슬롯[shift+번호]
TASKBAR_SYSTEM	시스템[ESC]
WHISPER_BAN	차단
WHISPER_NAME	대화상대이름
WHISPER_SEND	보내기
WHISPER_REPORT	신고
YES	예
ZONE_MAP	전체 지도
GUILD_BUILDING_PRICE	가격
GUILD_BUILDING_STONE	초석
GUILD_BUILDING_LOG	통나무
GUILD_BUILDING_PLY	합판
CUBE_TITLE	제조창
CREATE_SEX	성별
CREATE_MAN	남자
CREATE_WOMAN	여자
REPORT_VIOLENT_WHISPER	불량대화신고
PASSWORD_DESC_1	창고를 열기 위한
PASSWORD_DESC_2	비밀번호를 입력 해 주세요
COSTUME_WINDOW_TITLE	코스튬
TASKBAR_EXPAND	확장창
TASKBAR_DRAGON_SOUL	용혼석
TASKBAR_DISABLE	사용불가
CUBE_REQUIRE_MATERIAL_OR	또는
