

ITEM¹øÈ£	ITEM_NAME(K)	ITEM_TYPE	SUB_TYPE	SIZE	ANTI_FLAG	FLAG	ITEM_WEAR	IMMUNE	»óÁ¡ ÆÇ¸Å°¡	»óÁ¡¿¡¼­ »ì ¶§	REFINE	REFINESET	MAGIC_PCT	LIMIT_TYPE0	LIMIT_VALUE0	LIMIT_TYPE1	LIMIT_VALUE1	ADDON_TYPE0	ADDON_VALUE0	ADDON_TYPE1	ADDON_VALUE1	ADDON_TYPE2	ADDON_VALUE2	VALUE0	VALUE1	VALUE2	VALUE3	VALUE4	VALUE5	Specular	SOCKET	ATTU_ADDON
29	Àå°Ë+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	400	3000	0	0	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	63	100	1	0
30	¿ùµµ+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	600	31	1	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	0	0	1	0
31	¿ùµµ+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	600	32	2	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	7	0	1	0
32	¿ùµµ+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	600	33	3	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	14	0	1	0
33	¿ùµµ+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	1000	34	4	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	21	0	1	0
34	¿ùµµ+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	1000	35	5	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	28	30	1	0
35	¿ùµµ+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	1500	36	6	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	35	40	1	0
36	¿ùµµ+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	1500	37	7	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	42	50	1	0
37	¿ùµµ+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	2000	38	8	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	49	65	1	0
38	¿ùµµ+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	3000	39	9	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	56	80	1	0
39	¿ùµµ+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	4500	0	0	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	63	100	1	0
40	¼¼°Ë+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	800	41	1	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	0	0	1	0
41	¼¼°Ë+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	1000	42	2	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	7	0	1	0
42	¼¼°Ë+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	1000	43	3	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	14	0	1	0
43	¼¼°Ë+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	1000	44	4	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	21	0	1	0
44	¼¼°Ë+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	1500	45	5	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	28	30	1	0
45	¼¼°Ë+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	1500	46	6	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	35	40	1	0
46	¼¼°Ë+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	2000	47	7	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	42	50	1	0
47	¼¼°Ë+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	3000	48	8	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	49	65	1	0
48	¼¼°Ë+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	4000	49	9	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	56	80	1	0
49	¼¼°Ë+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	6000	0	0	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	63	100	1	0
50	³¶¾Æµµ+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	3000	51	1	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	0	0	1	0
51	³¶¾Æµµ+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	3500	52	2	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	7	0	1	0
52	³¶¾Æµµ+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	3500	53	3	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	14	0	1	0
53	³¶¾Æµµ+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	4000	54	4	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	21	0	1	0
54	³¶¾Æµµ+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	5000	55	5	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	28	30	1	0
55	³¶¾Æµµ+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	6500	56	6	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	35	40	1	0
56	³¶¾Æµµ+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	8000	57	7	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	42	50	1	0
57	³¶¾Æµµ+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	11000	58	8	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	49	65	1	0
58	³¶¾Æµµ+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	15500	59	9	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	56	80	1	0
59	³¶¾Æµµ+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	23000	0	0	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	63	100	1	0
60	Àº°Ë+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	5000	61	10	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	0	0	2	0
61	Àº°Ë+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	5500	62	11	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	6	0	2	0
62	Àº°Ë+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	6000	63	12	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	12	0	2	0
63	Àº°Ë+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	7000	64	13	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	18	0	2	0
64	Àº°Ë+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	8500	65	14	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	24	30	2	0
65	Àº°Ë+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	10500	66	15	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	32	40	2	0
66	Àº°Ë+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	13500	67	16	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	41	50	2	0
67	Àº°Ë+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	18500	68	17	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	51	65	2	0
68	Àº°Ë+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	25500	69	18	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	62	80	2	0
69	Àº°Ë+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	38500	0	0	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	74	100	2	0
70	¿¬°Ë+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	8000	71	10	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	0	0	2	0
71	¿¬°Ë+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	9000	72	11	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	6	0	2	0
72	¿¬°Ë+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	9500	73	12	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	12	0	2	0
73	¿¬°Ë+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	11000	74	13	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	18	0	2	0
74	¿¬°Ë+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	13500	75	14	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	24	30	2	0
75	¿¬°Ë+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	16500	76	15	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	32	40	2	0
76	¿¬°Ë+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	21500	77	16	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	41	50	2	0
77	¿¬°Ë+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	29500	78	17	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	51	65	2	0
78	¿¬°Ë+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	41000	79	18	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	62	80	2	0
79	¿¬°Ë+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	61500	0	0	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	74	100	2	0
80	»çÀÎ°Ë+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	15000	15000	81	10	15	LEVEL	36	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	52	68	48	58	0	0	2	0
81	»çÀÎ°Ë+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	15000	16500	82	11	15	LEVEL	36	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	52	68	48	58	6	0	2	0
82	»çÀÎ°Ë+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	15000	18000	83	12	15	LEVEL	36	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	52	68	48	58	12	0	2	0
83	»çÀÎ°Ë+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	15000	21000	84	13	15	LEVEL	36	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	52	68	48	58	18	0	2	0
84	»çÀÎ°Ë+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	15000	25000	85	14	15	LEVEL	36	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	52	68	48	58	24	30	2	0
85	»çÀÎ°Ë+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	15000	31500	86	15	15	LEVEL	36	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	52	68	48	58	32	40	2	0
86	»çÀÎ°Ë+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	15000	40500	87	16	15	LEVEL	36	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	52	68	48	58	41	50	2	0
87	»çÀÎ°Ë+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	15000	55000	88	17	15	LEVEL	36	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	52	68	48	58	51	65	2	0
88	»çÀÎ°Ë+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	15000	77000	89	18	15	LEVEL	36	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	52	68	48	58	62	80	2	0
89	»çÀÎ°Ë+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	15000	115500	0	0	15	LEVEL	36	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	52	68	48	58	74	100	2	0
