ACCEPT	Bestätigen
HELP_OPEN_WHISPER	- die Umschalttaste + die Eingabetaste öffnen das Flüsterfenster
HELP_OPEN_ZONEMAP	- die Taste M öffnet und schließt die große Karte
HELP_PICK_ITEM	- Drücke die Taste ^, um Gegenstände aufzuheben
HELP_QUICKSLOT	Schnellzugriffsfeld
HELP_SCREEN_CAPTURE	- Drücke die Taste Druck, um einen Screenshot zu machen. Der Screenshot wird im Metin/screenshot Verzeichnis gespeichert
HELP_SHOW_ALL_NAME	- Drücke die Alt-Taste, um die Namen aller Charaktere und Gegenstände anzuzeigen
HELP_SP	AP
HELP_SYSTEM_BUTTON	Systemtaste
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. Inventar
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. Inventar
INVENTORY_TITLE	Inventar
ITEM_MALL	Item Shop
LOAD_ERROR	Die Datendatei ist beschädigt. Bitte Client neu installieren. Drücke jetzt die Taste ESC.
LOGIN_CONNECT	Verbinden
LOGIN_CONNECTING	Du wirst mit dem Server verbunden.
LOGIN_DEFAULT_SERVERADDR	Servername, Kanal 1
LOGIN_EXIT	Beenden
LOGIN_REGION_TITLE	Ort für die Rechnungsstellung wählen
LOGIN_SELECT_BUTTON	Wählen
LOGIN_SELECT_EXIT	Beenden
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Server wählen
MALL_PASSWORD_TITLE	Passwort
MALL_TITLE	Item-Shop Lager
MARKET_TITLE	Laden
MARKLIST_REFRESH	Aktualisieren
MARKLIST_TITLE	Gildenzeichen registrieren
MESSAGE	Dies ist eine Nachricht
MESSENGER_ADD_FRIEND	Freunde hinzufügen
MESSENGER_DELETE_FRIEND	Freunde löschen
MESSENGER_MOBILE	SMS senden
MESSENGER_OPEN_GUILD	Gildenfenster öffnen
MESSENGER_TITLE	Freunde
MESSENGER_USE_GUILD_MOVE_SKILL	Verwende die Gildenbewegungsfertigkeit
MESSENGER_WHISPER	Flüstern
MINIMIZE	Minimieren
MOUSEBUTTON_ATTACK	Angreifen
MOUSEBUTTON_AUTO_ATTACK	Automatisch angreifen
MOUSEBUTTON_CAMERA	Perspektive
MOUSEBUTTON_SKILL	Fertigkeiten
MUSICLIST_TITLE	Musikauswahl
NO	Nein
OK	OK
OPTION_ALWAYS_SHOW_NAME	Name
OPTION_ALWAYS_SHOW_NAME_OFF	begrenzt
OPTION_ALWAYS_SHOW_NAME_ON	Immer
OPTION_BLOCK	Abblocken
OPTION_BLOCK_EXCHANGE	Handeln
OPTION_BLOCK_FRIEND	Freund
OPTION_BLOCK_GUILD	Gilde
OPTION_BLOCK_PARTY	Gruppe
OPTION_BLOCK_PARTY_REQUEST	Anfrage
OPTION_BLOCK_WHISPER	Flüstern
OPTION_CAMERA_DISTANCE	Kamera
OPTION_CAMERA_DISTANCE_LONG	Fern
OPTION_CAMERA_DISTANCE_SHORT	Nah
OPTION_DELETE_MOBILE_BUTTON	Handynummer löschen
OPTION_EFFECT	Trefferanzeige
OPTION_FOG	Nebel
OPTION_FOG_DENSE	Viel
OPTION_FOG_LIGHT	Wenig
OPTION_FOG_MIDDLE	Mittel
OPTION_INPUT_MOBILE_BUTTON	Handynummer eingeben
OPTION_MOBILE	Handy
OPTION_MUSIC	Musik
OPTION_MUSIC_CHANGE	Wechseln
OPTION_MUSIC_DEFAULT_THEMA	Standardtitel von Metin2
OPTION_NAME_COLOR	Farbe Name
OPTION_NAME_COLOR_EMPIRE	Reichsfarbe
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_PVPMODE	PvP-Modus
OPTION_PVPMODE_FREE	Frei
OPTION_PVPMODE_FREE_TOOLTIP	Du darfst alle Spieler angreifen.
OPTION_PVPMODE_GUILD	Gilde
OPTION_PVPMODE_GUILD_TOOLTIP	Du darfst alle Spieler mit Ausnahme von Gildenmitgliedern angreifen.
OPTION_PVPMODE_PEACE	Frieden
OPTION_PVPMODE_PEACE_TOOLTIP	Ich kann keine anderen Spieler meines Reiches angreifen.
OPTION_PVPMODE_REVENGE	Feindlich
OPTION_PVPMODE_REVENGE_TOOLTIP	Du kannst nur Spieler mit einer anderen Gesinnung angreifen.
OPTION_SOUND	Effekte
OPTION_TARGET_BOARD	Zielmenü
OPTION_TARGET_BOARD_NO_VIEW	Schließen
OPTION_TARGET_BOARD_VIEW	Anzeigen
OPTION_TILING	Grafikspeicher
OPTION_TILING_APPLY	Anwenden
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Optionen
OPTION_VIEW_CHAT	Chatzeile
OPTION_VIEW_CHAT_OFF	ausblenden
OPTION_VIEW_CHAT_ON	einblenden
PARTY_MEMBER_INFO_NAME	Name des Gruppenmitglieds
PASSWORD_TITLE	Speicher-PW
PICK_MONEY_TITLE	Teilen
PRIVATE_SHOP_CLOSE_BUTTON	Laden schließen
PRIVATE_SHOP_NAME	Name des Ladens
PRIVATE_SHOP_TITLE	Privaten Laden einrichten
REFINE_COST	Verbesserungskosten: 0 Yang
REFINE_INFO	Wahrscheinlichkeit auf erfolgreiche Verbesserung: 100%
REFINE_TTILE	Verbesserungen
RESTART_HERE	Hier neu starten
RESTART_TOWN	In der Stadt neu starten
SAFE_CHANGE_PASSWORD	Passwort ändern
SAFE_TITLE	Speicherung
SELECT_ATT_GRADE	STR
SELECT_CREATE	Erstellen
SELECT_DELETE	Löschen
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Name des Reiches
SELECT_EXIT	Beenden
SELECT_HP	VIT
SELECT_LEVEL	Level
SELECT_METIN_STONE_TITLE	Geiststein wählen
SELECT_NAME	Name
SELECT_NO_GUILD	Keine Gilde
SELECT_PLAYTIME	Spielzeit (Min.)
SELECT_SELECT	Start
SELECT_SP	INT
SELECT_TITLE	Titel auswählen
SHOP_BUY	Kaufen
SHOP_SELL	Verkaufen
SHOP_TITLE	Laden
SKILL_SUPPORT_TITLE	Standardfertigkeiten
SYSTEMOPTION_TITLE	Systemoptionen
SYSTEM_CHANGE	Charakter wechseln
SYSTEM_EXIT	Spiel beenden
SYSTEM_HELP	Hilfe
SYSTEM_LOGOUT	Ausloggen
SYSTEM_MALL	Item Shop
SYSTEM_OPTION	Systemoptionen
TASKBAR_CHARACTER	Charakter[C/V/B/N]
TASKBAR_CHAT	Chat-Fenster
TASKBAR_INVENTORY	Inventar[I]
TASKBAR_MESSENGER	Nachrichten
TASKBAR_NEXT_QUICKSLOT	Nächstes Schnellzugriffsfeld [Umschalt+Zahl, Alt]
TASKBAR_PREV_QUICKSLOT	Vorheriges Schnellzugriffsfeld [Umschalt+Zahl]
TASKBAR_SYSTEM	Optionen[ESC]
WHISPER_BAN	Abblocken
WHISPER_NAME	Zuflüstern
WHISPER_SEND	Senden
YES	Ja
ZONE_MAP	Große Karte
