AFF_LOVE_POINT	琴瑟 : %d%%
HORSE_HEALTH3	喂饱
HORSE_LEVEL1	幼马
HORSE_LEVEL2	成年马
HORSE_LEVEL3	良驹
HOUR	小时
INPUT_MATRIX_CARD_NUMBER	请输入矩阵卡上对应的密码
INPUT_MATRIX_CARD_TITLE	矩阵卡
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	请输入身份证后7位数字
INPUT_PRIVATE_CODE_DIALOG_TITLE	删除角色
INVENTORY_DO_NOT_PACK_WARP_SCROLL	记忆卷轴不能重叠
INVENTORY_REALLY_USE_ITEM	确定要充值吗?
JOB_ASSASSIN	刺客
JOB_ASSASSIN0	见习刺客
JOB_ASSASSIN1	锋刀
JOB_ASSASSIN2	百羿
JOB_SHAMAN	法师
JOB_SHAMAN0	见习法师
JOB_SHAMAN1	潜龙
JOB_SHAMAN2	狂雷
JOB_SURA	修罗
JOB_SURA0	见习修罗
JOB_SURA1	幻武
JOB_SURA2	黑魔
JOB_WARRIOR	猛将
JOB_WARRIOR0	见习猛将
JOB_WARRIOR1	气宗
JOB_WARRIOR2	剑宗
LEFT_TIME	剩余时间
LOGIN_CONNECT_FAILURE	连接服务器失败
LOGIN_CONNECT_SUCCESS	连接服务器成功
LOGIN_CONNETING	正在连接中
LOGIN_FAILURE_ALREAY	此帐号正在进行游戏
LOGIN_FAILURE_BE_SAME_KEY	登录游戏出现错误。
LOGIN_FAILURE_BLOCK_ID	服务器维护，无法正常连接
LOGIN_FAILURE_NOBILL	您的帐号未充值
LOGIN_FAILURE_NOT_AVAIL	此帐号暂时还未开通
LOGIN_FAILURE_NOT_EXIST_ID	输入的帐号不存在
LOGIN_FAILURE_REPAIR_ID	目前处于物品恢复中的帐号
LOGIN_FAILURE_SHUTDOWN	服务器维护中……请稍候登录
LOGIN_FAILURE_TOO_MANY_USER	用户登陆过多，请稍后连接
LOGIN_FAILURE_UNKNOWN	不知明的错误(%d)，登录失败
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	输入的矩阵卡密码错误
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	程序将立即关闭
LOGIN_FAILURE_WRONG_PASSWORD	密码错误
LOGIN_INPUT_ID	请输入帐号
LOGIN_INPUT_PASSWORD	请输入密码
LOGIN_PROCESSING	正在登录
MALL_CANNOT_INSERT	物品mall不能放进物品
MALL_PASSWORD_TITLE	密码
MAP_A1	长安城
MAP_A2	虎丘
MAP_A3	江陵府
MAP_AG	A_GUILD_MAP
MAP_B1	咸阳城
MAP_B2	林芝谷
MAP_B3	易水县
MAP_BG	B_GUILD_MAP
MAP_C1	洛阳城
MAP_C2	房山谷
MAP_C3	陈仓县
MAP_CG	C_GUILD_MAP
MAP_DESERT	影悲沙漠
MAP_FLAME	阎魔火地
MAP_SKELTOWER	亡灵塔
MAP_SNOW	雪寒山
MAP_SPIDER	盘丝洞
MAP_TEMPLE	喃喏寺
MAP_TREE	鬼木林
MAP_TRENT02	赤鬼木林
MAP_WL	死亡平野	
MAP_NUSLUCK	死亡谷
MAP_CAPE	龙头谷
MAP_THUNDER	雷声山
MAP_DAWN	晓雾林
MAP_BAY	黑沙湾
MESSENGER_ADD_FRIEND	添加好友
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s把你加入到好友目录
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	你接受吗?
MESSENGER_DO_YOU_DELETE	确定要删除吗？
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	确定要删除手机号码吗?
MESSENGER_DO_YOU_MOVE	确定要移动吗?
MESSENGER_EMPTY_LIST	现在为空
MESSENGER_FAMILY	家族
MESSENGER_FRIEND	好友
MESSENGER_GUILD	帮会
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	请输入手机短信接收的认证号码
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	输入认证号码
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	不输入手机号码,无法发送短信
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	现在要输入号码吗?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	输入手机号码
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	要发送的短信内容
MINIMAP	小地图
MINIMAP_CANNOT_SEE	无法查看小地图
MINIMAP_CAN_NOT_SHOW_AREAMAP	无法查看整体地图
MINIMAP_DEC_SCALE	缩小
MINIMAP_INC_SCALE	放大
MINIMAP_OBSERVER_COUNT	观战者为 %d 
MINIMAP_SHOW_AREAMAP	整体地图
MINUTE	分
MONEY_INPUT_DIALOG_SELLPRICE	售价 : 
MOVE_ITEM_FAILURE_PRIVATE_SHOP	开个人商店时不能移动物品位置
MUSIC_EMPTY_MUSIC_LIST	没有相应的音乐文件
MUSIC_METIN2_DEFAULT_THEMA	倚天II默认背景音乐
MUSIC_NOT_SELECT_MUSIC	没有选择的音乐文件
NEEFD_REST	需要休息
NOT_YET_SUPPORT	暂时没有开放此功能
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	未加入帮会的角色不可以设定帮会模式
OPTION_PVPMODE_NOT_SUPPORT	现在无法进行 PvP 对决.
OPTION_PVPMODE_PROTECT	%d等级以上才可以进行 PvP 对决.
PARTY_BONUS_ATTACKER	攻击力 : +%d	SA
PARTY_BONUS_BERSERKER	攻击速度 : +%d	SA
PARTY_BONUS_BUFFER	技能持续时间 : +%d	SA
PARTY_BONUS_DEFENDER	防御力 : +%d	SA
PARTY_BONUS_EXP	奖励经验值 : %d%%	SA
PARTY_BONUS_SKILL_MASTER	最大精力 : +%d	SA
PARTY_BONUS_TANKER	最大生命 : +%d	SA
PARTY_BREAK_UP	解散组队	
PARTY_DO_YOU_ACCEPT	申请加入本组队.	
PARTY_DO_YOU_JOIN	同意组队吗？	
PARTY_EXP_DISTRIBUTION_MODE	经验值分配方式	
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	等级分配	
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	等级越高获得的经验值越多	
PARTY_EXP_DISTRIBUTION_MODE_PARITY	平均分配	
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	所有组队成员平均分配经验值	
PARTY_HEAL_ALL_MEMBER	全员恢复	
PARTY_INCREASE_AREA_150	组队经验值增加为原来的1.5倍	SNA
PARTY_INCREASE_AREA_200	组队经验值增加为原来的2倍	SNA
PARTY_LEAVE	退出组队	
PARTY_LONGTIME_BONUS_EXP	长时间维持组队关系的奖励，经验值 : +%d%%	SA
PARTY_MEMBER_OFFLINE	[队员已离线]	
PARTY_RECALL_MEMBER	唤醒组队成员	
PARTY_REGEN_BONUS	体力 精力 恢复奖励: +%d%%	SA
PARTY_REQUEST_DENIED	对方拒绝了您的申请.	
PARTY_SET_ATTACKER	设为攻击手	
PARTY_SET_BERSERKER	设定为左护法	
PARTY_SET_BUFFER	设为左护法	
PARTY_SET_DEFENDER	设定为右护法	
PARTY_SET_NORMAL	解除能力	
PARTY_SET_SKILL_MASTER	设为右护法	
PARTY_SET_TANKER	设为防御手	
PARTY_SKILL_ATTACKER	攻击手基本攻击 +%.0f	
PARTY_SKILL_BERSERKER	左护法攻击速度 +%.0f
PARTY_SKILL_BUFFER	技能持续时间 +%.0f
PARTY_SKILL_DEFENDER	右护法防御力 +%.0f
PARTY_SKILL_HP_REGEN	生命力恢复速度 +%.0f%%
PARTY_SKILL_PARTY_AREA	组队效果范围增加 +%d%%
PARTY_SKILL_SKILL_MASTER	左护法最大精力 +%.0f
PARTY_SKILL_SP_REGEN	精神力恢复速度 +%.0f%%
PARTY_SKILL_TANKER	防御手最大生命力 +%.0f
PARTY_SKILL_WARP	可以复活组队成员
PASSWORD_TITLE	仓库密码
PICK_ITEM_TITLE	要拿出的个数
PICK_MONEY_TITLE	要拿出的金额
PRIVATE_SHOP_CANNOT_SELL_ITEM	个人商店不能出售的物品
PRIVATE_SHOP_CLOSE_QUESTION	是否关闭个人商店?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	请输入商店名
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	请输入价格
PVP_LEVEL0	至尊
PVP_LEVEL1	天王
PVP_LEVEL2	英雄
PVP_LEVEL3	侠客
PVP_LEVEL4	平民
PVP_LEVEL5	杀手
PVP_LEVEL6	霸王
PVP_LEVEL7	魔头
PVP_LEVEL8	狱帝
PVP_MODE_GUILD	PvP 帮会模式
PVP_MODE_KILL	PvP 自由模式
PVP_MODE_NORMAL	PvP 和平模式
PVP_MODE_PROTECT	PvP 保护模式
PVP_MODE_REVENGE	PvP 善恶模式
PVP_OPTION_KILL	善恶模式
PVP_OPTION_NORMAL	和平模式
PVP_OPTION_PROTECT	PROTECTED
PVP_OPTION_REVENGE	自由模式
QUEST_APPEND	加载了新任务
QUEST_MIN	分
QUEST_SEC	秒
QUEST_TIMEOVER	超出时间限制
QUEST_UNLIMITED_TIME	没有时间限制
QUEST_ZEROSEC	0秒
QUICKSLOT_REGISTER_DISABLE_ITEM	装备无法放入快捷栏
RECEIVE_MESSAGE	收到%s给您发的信息
REFINE_COST	升级费用%d两
REFINE_DESTROY_WARNING	升级失败导致装备消失
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	升级失败将导致物品消失。
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	确定改良吗？
REFINE_DOWN_GRADE_WARNING	升级失败导致装备等级下降
REFINE_DO_YOU_SEPARATE_METIN	确定要把宝石取下吗？
REFINE_FAILURE	升级失败
REFINE_FAILURE_EQUIP_ITEM	已佩带的装备无法镶嵌
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	没有可取的宝石
REFINE_FAILURE_NEED_BETTER_SCROLL	需要更好的改良物品
REFINE_FAILURE_NO_MORE_SOCKET	无法再打孔了
REFINE_FAILURE_SOCKET_DISABLE_ITEM	无法打孔的装备
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	提高性能的物品
REFINE_SUCCESS	升级成功
REFINE_SUCCESS_PROBALITY	升级成功概率 : %d%%
REFINE_WARNING2	确定要升级吗？
SAFEBOX_ERROR	密码错误
SAFEBOX_SELL_DISABLE_SAFEITEM	此装备无法放入仓库
SAFEBOX_WRONG_PASSWORD	新密码输入错误
SCREENSHOT_SAVE1	SAVE_SCREEN_SHOT1
SCREENSHOT_SAVE2	SAVE_SCREEN_SHOT2
SCREENSHOT_SAVE_FAILURE	保存截图失败
SECOND	秒
SELECT_CAN_NOT_DELETE	无法删除角色
SELECT_CHANGED_NAME	修改角色名称成功
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	此角色名已经存在
SELECT_CHANGE_FAILURE_STRANGE_INDEX	请重新尝试一下
SELECT_CHANGE_FAILURE_STRANGE_NAME	角色名称错误
SELECT_CHANGE_NAME_TITLE	更改角色名称
SELECT_DELEING	正在删除角色
SELECT_DELETED	删除完毕
SELECT_DO_YOU_DELETE_REALLY	确定要删除吗？
SELECT_EMPTY_SLOT	可创建角色
SELECT_GM_NAME	运营
SELECT_INPUT_CHANGING_NAME	请选择需要修改的角色名
SELECT_NOT_JOIN_GUILD	没有所属帮会
SHOP_BUY_INFO	选择想要购买的物品，可以购买
SHOP_CANNOT_SELL_EQUIPMENT	无法卖掉以装备的物品
SHOP_CANNOT_SELL_ITEM	该物品无法卖掉
SHOP_ERROR_UNKNOWN	商店产生错误: %s
SHOP_INVALID_POS	错误的装备
SHOP_INVENTORY_FULL	物品栏内没有空闲的位置
SHOP_NOT_ENOUGH_MONEY	金币不够
SHOP_SELL_INFO	选择想要出售的物品，就可以卖掉
SHOP_SOLDOUT	缺少的库存物品
SHOT_ERROR_UNKNOWN	远程攻击出现错误: %s
SKILL_BOHO	星云阵
SKILL_BUDONG	荆棘
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	以后的技能,只能通过经验才可以修炼
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	以后的技能,只能使用修炼书才可以修炼
SKILL_CHEONGEUN	千斤坠
SKILL_CRITICAL	2倍伤害
SKILL_ENCHANT_POISON	施毒
SKILL_EUNHYEONG	?身
SKILL_FAINT	晕倒
SKILL_FIND_TRAP	寻找陷阱
SKILL_FIRE	九霄火焰
SKILL_FISHMIND	鱼谱
SKILL_GAMJI	鹰目
SKILL_GEOMGYEONG	剑气
SKILL_GEONGON	天地乾坤
SKILL_GICHEON	潜能
SKILL_GIGONG	专注
SKILL_GONGPO	恐惧
SKILL_GRADE_NAME_GRAND_MASTER	%s 读书最高等级
SKILL_GRADE_NAME_MASTER	%s 最高等级
SKILL_GRADE_NAME_PERFECT_MASTER	%s 修练最高等级
SKILL_GROUP_ASSASSIN_1	锋刀
SKILL_GROUP_ASSASSIN_2	百羿
SKILL_GROUP_HORSE	骑乘
SKILL_GROUP_SHAMAN_1	潜龙
SKILL_GROUP_SHAMAN_2	狂雷
SKILL_GROUP_SURA_1	幻舞
SKILL_GROUP_SURA_2	黑魔
SKILL_GROUP_WARRIOR_1	剑宗
SKILL_GROUP_WARRIOR_2	气宗
SKILL_GWIGEOM	归剑
SKILL_GYEONGGONG	轻功
SKILL_HEUKSIN	黑神守护
SKILL_HOSIN	魔盾
SKILL_HWAYEOM	火焰斩
SKILL_HYEOLMA	血掌
SKILL_INC_ATKSPD	增加攻击速度
SKILL_INC_MOVSPD	增加移动速度
SKILL_INMA	天人合一
SKILL_JEOJU	梦魇
SKILL_JEONGEOP	净化
SKILL_JEONGWI	战魂
SKILL_JEONSINBANGEO	铁布杉
SKILL_JEONSINGONGGYEOK	四面楚歌
SKILL_JEUNGCHE	神浴
SKILL_JEUNGHON	集中
SKILL_JEUNGRYEOK	天怒
SKILL_JEUNGSOK	神速
SKILL_JIGAM	神法
SKILL_JIPJUNG	集中防御
SKILL_JUMAGAP	噬体
SKILL_JUMAGEOM	鬼怨
SKILL_KWAEGEOM	快剑
SKILL_KWAESOK	迅捷术
SKILL_LEGBOUND	束缚
SKILL_MUSA	武魂
SKILL_MUYEONG	巫灵阵
SKILL_NEED_EMPTY_BOTTLE	没有空瓶子
SKILL_NEED_POISON_BOTTLE	没有毒瓶
SKILL_ONLY_FOR_GUILD_WAR	只可以在帮会战争中使用
SKILL_PABEOP	诅咒
SKILL_POWERFUL_STRIKE	晕击对方
SKILL_SEOMGWANG	盲目
SKILL_SINCHAK	朦胧术
SKILL_SLEEP	催眠
SKILL_SLOW	缓慢
SKILL_STUN	击晕
SKILL_SUHO	战灵守护
SKILL_SUMMON_DESCRIPTION	召唤马匹成功概率 : %d%%
SKILL_TOOLTIP_INT	智力
SKILL_TOOLTIP_LEVEL	人物
SKILL_TOXICDIE	中毒
SKILL_TOXICPOWER	增加毒的攻击力
SKILL_TUSOK	束缚
SKILL_WONSIN	神目
SKILL_YONGSIN	龙神盾
STAT_MINUS_CON	体力分配 (剩余分配点数: %d)
STAT_MINUS_DEX	敏捷分配 (剩余分配点数: %d)
STAT_MINUS_INT	智力分配 (剩余分配点数: %d)
STAT_MINUS_STR	力量分配 (剩余分配点数: %d)
STAT_TOOLTIP_CON	提高生命力和防御力
STAT_TOOLTIP_DEX	提高命中率和闪避率
STAT_TOOLTIP_INT	提高精力值和魔法伤害
STAT_TOOLTIP_STR	提高攻击力
SYMBOLLIST_TITLE	帮会旗帜登记
SYSTEM_OPTION_CPU_TILING_1	用CPU显示模式，可以在低配置的电脑上流畅运行游戏
SYSTEM_OPTION_CPU_TILING_2	游戏显示上出现问题时在`系统设置` 或者利用 `CONFIG.exe` 
SYSTEM_OPTION_CPU_TILING_3	重新设置为GPU 显示模式
SYSTEM_OPTION_GPU_TILING_1	GPU 显示模式在低配置的电脑上可能运行困难
SYSTEM_OPTION_GPU_TILING_2	游戏显示上出现问题时在`系统设置` 或者利用 `CONFIG.exe` 
SYSTEM_OPTION_GPU_TILING_3	重新设置为GPU 显示模式
SYSTEM_OPTION_TILING_EXIT	为了设置显示模式，必须关闭游戏
TARGET_BUTTON_ACCEPT_FIGHT	同意对决
TARGET_BUTTON_AVENGE	报仇
TARGET_BUTTON_BUILDING_DESTROY	破坏
TARGET_BUTTON_DISMOUNT	下马
TARGET_BUTTON_EMOTION_ALLOW	同意使用动作
TARGET_BUTTON_EXCHANGE	交换
TARGET_BUTTON_EXCLUDE	踢出组队
TARGET_BUTTON_EXIT_OBSERVER	结束观战
TARGET_BUTTON_FIGHT	对决
TARGET_BUTTON_FRIEND	好友
TARGET_BUTTON_INVITE_GUILD	邀请入会
TARGET_BUTTON_INVITE_PARTY	邀请组队
TARGET_BUTTON_LEAVE_PARTY	退出组队
TARGET_BUTTON_REQUEST_ENTER_PARTY	申请组队
TARGET_BUTTON_VIEW_EQUIPMENT	窥视
TARGET_BUTTON_WHISPER	悄悄话
TARGET_LEVEL_BOSS	将军
TARGET_LEVEL_KING	大王
TARGET_LEVEL_KNIGHT	将领
TARGET_LEVEL_PAWN	小兵
TARGET_LEVEL_S_KNIGHT	高级将领
TARGET_LEVEL_S_PAWN	头目
TASKBAR_ATTACK	攻击
TASKBAR_AUTO	自动
TASKBAR_CAMERA	视角旋转
TASKBAR_EXP	经验值
TASKBAR_HP	生命值
TASKBAR_MOVE	移动
TASKBAR_SKILL	技能	
TASKBAR_SP	精力值	
TASKBAR_ST	耐力条	
THING_COUNT	个	
TOOLTIP_APPLY_ATTBONUS_ANIMAL	对动物系%d%% 追加伤害	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	对刺客强悍 +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	对恶魔%d%%追加伤害	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	对人形系%d%% 追加伤害	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	对秘宗%d%%追加伤害	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	对怪物强悍 +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	对鬼族%d%%追加伤害	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	对法师强悍 +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	对修罗强悍 +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	对僵尸系 %d%% 追加伤害	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	对猛将强悍 +%d%%	SA
TOOLTIP_APPLY_BLOCK	%d%%几率彻底防御敌人物理攻击	SA
