VNUM	TYPE	MODEL	NAME	REG_1	REG_2	REG_3	REG_4	XROT_LIMIT	YROT_LIMIT	ZROT_LIMIT	PRICE	MATERIALS	NPC	GROUP	DEPEND_GROUP	공개여부
14049	FACILITY	yonggwangro	옥석 용광로	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20066	3	1	1
14050	FACILITY	yonggwangro	흑단석 용광로	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20067	3	1	1
14051	FACILITY	yonggwangro	진주 용광로	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20068	3	1	1
14052	FACILITY	yonggwangro	백금 용광로	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20069	3	1	1
14053	FACILITY	yonggwangro	수정 용광로	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20070	3	1	1
14054	FACILITY	yonggwangro	자수정 용광로	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20071	3	1	1
14055	FACILITY	yonggwangro	천루 용광로	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20072	3	1	1
																
14061	FACILITY	himuijedan_01	힘의 신전	-523.91	-995.84	527.55	750.99	0	0	360	25000000	"90010,25/90011,25/90012,25"	20077	4	1	1
14062	FACILITY	himuijedan_02	힘의 신전	-586.17	-995.84	587.18	818.56	0	0	360	500000000	"90010,50/90011,50/90012,50"	20078	4	4	2
14063	FACILITY	himuijedan_03	힘의 신전	-664.7	-995.84	665.7	896.57	0	0	360	750000000	"90010,75/90011,75/90012,75"	20079	4	4	2
																
14100	HEADQUARTER	a1-011-workhouse	집(1)	-676.52	-894.26	690.18	749.32	0	0	360	20000000	"90010,20/90011,30/90012,25"	0	1	0	1
14101	OBJECT	a1-038-wall-corner	돌담장(1-1)	-400	-153.53	156.48	400	0	0	360	2000000	"90010,15/90011,5/90012,5"	0	5	0	2
14102	OBJECT	a1-038-wall-lin	돌담장(1-2)	-200	-106.73	300	106.73	0	0	360	1000000	"90010,15/90011,5/90012,5"	0	5	0	2
14103	OBJECT	a1-038-wall-lin2	돌담장(1-3)	-500	-106.73	500	106.73	0	0	360	1000000	"90010,15/90011,5/90012,5"	0	5	0	2
14104	OBJECT	a1-038-wall-door	대문(1)	-1000	-274.73	1000	274.73	0	0	360	2500000	"90010,5/90011,15/90012,10"	0	5	0	2
14105	BUILDIN	a1-set	담장(1)	-1000	-274.73	1000	274.73	0	0	360	2500000	"90010,5/90011,15/90012,10"	0	5	0	1
																
14110	HEADQUARTER	b1-011-workhouse	집(2)	-678.76	-894.26	687.94	749.32	0	0	360	20000000	"90010,20/90011,30/90012,25"	0	1	0	1
14111	OBJECT	b1-038-wall-corner	돌담장(2-1)	-400	-153.53	156.48	400	0	0	360	2000000	"90010,15/90011,5/90012,5"	0	5	0	2
14112	OBJECT	b1-038-wall-lin	돌담장(2-2)	-200	-106.73	300	106.73	0	0	360	1000000	"90010,15/90011,5/90012,5"	0	5	0	2
14113	OBJECT	b1-038-wall-lin2	돌담장(2-3)	-500	-106.73	500	106.73	0	0	360	1000000	"90010,15/90011,5/90012,5"	0	5	0	2
14114	OBJECT	b1-038-wall-door	대문(2)	-1000	-274.73	1000	274.73	0	0	360	2500000	"90010,5/90011,15/90012,10"	0	5	0	2
14115	BUILDIN	b1-set	담장(2)	-1000	-274.73	1000	274.73	0	0	360	2500000	"90010,5/90011,15/90012,10"	0	5	0	1
																
14120	HEADQUARTER	c1-011-workhouse	집(3)	-676.52	-894.26	690.18	749.32	0	0	360	20000000	"90010,20/90011,30/90012,25"	0	1	0	1
14121	OBJECT	c1-038-wall-corner	돌담장(3-1)	-400	-153.53	156.48	400	0	0	360	2000000	"90010,15/90011,5/90012,5"	0	5	0	2
14122	OBJECT	c1-038-wall-lin	돌담장(3-2)	-200	-106.73	300	106.73	0	0	360	1000000	"90010,15/90011,5/90012,5"	0	5	0	2
14123	OBJECT	c1-038-wall-lin2	돌담장(3-3)	-500	-106.73	500	106.73	0	0	360	1000000	"90010,15/90011,5/90012,5"	0	5	0	2
14124	OBJECT	c1-038-wall-door	대문(3)	-1000	-274.73	1000	274.73	0	0	360	2500000	"90010,5/90011,15/90012,10"	0	5	0	2
14125	BUILDIN	c1-set	담장(3)	-1000	-274.73	1000	274.73	0	0	360	2500000	"90010,5/90011,15/90012,10"	0	5	0	1
																
//14140	BUILDING	ob-7-01	경비탑	-188.25	-221.33	188.25	221.33	0	0	360	3000000	"90010,20/90011,30/90012,35"	0	0	0	0
//14141	OBJECT	ob-7-02-01	나무담장1	-3.69	-79.93	348.52	79.93	0	0	360	800000	"90010,5/90011,15/90012,15"	0	0	0	2
//14142	OBJECT	ob-7-02-02	나무담장2	-72.14	-71.66	72.14	71.66	0	0	360	500000	"90010,5/90011,15/90012,15"	0	0	0	2
//14143	OBJECT	ob-7-03-01	나무담장3	-390.82	-104.9	4.13	104.9	0	0	360	800000	"90010,5/90011,15/90012,15"	0	0	0	2
//14144	OBJECT	ob-7-03-02	나무대문	-2.45	-192.41	695.53	192.41	0	0	360	2000000	"90010,5/90011,20/90012,20"	0	0	0	2
//14145	BUILDIN	ob1-set	담장(4)	-1000	-274.73	1000	274.73	0	0	360	2500000	"90010,5/90011,15/90012,10"	0	0	0	1
																
14200	OBJECT	guild_symbol	길드 휘장	-45.9	-9.44	42.68	40.13	0	0	360	3000000	"90011,5/90012,5"	0	0	1	1
14201	WALL	fence01_door01	담장대문	-1000	-54	1000	20	0	0	360	3000000	"90010.50"	0	0	1	1
14202	WALL	fence01_back01	담장뒷벽	-1000	-18	1000	18	0	0	360	3000000	"90010.50"	0	0	1	1
14203	WALL	fence01_left01	담장왼벽	-19	-1362	19	1362	0	0	360	3000000	"90010.50"	0	0	1	1
14204	WALL	fence01_right01	담장오른벽	-18	-1362	18	1362	0	0	360	3000000	"90010.50"	0	0	1	1
																
14300	OBJECT	general_obj_stone01	돌1	-116.04	-118.44	116.04	118.44	0	0	360	300000	"90010,5"	0	0	0	1
14301	OBJECT	general_obj_stone02	돌2	-118.05	-132.67	118.05	132.67	0	0	360	300000	"90010,5"	0	0	0	1
14302	OBJECT	general_obj_stone03	돌3	-133.43	-102.96	133.43	102.96	0	0	360	300000	"90010,7"	0	0	0	1
14303	OBJECT	general_obj_stone04	돌4	-104.21	-117.82	104.21	117.82	0	0	360	300000	"90010,7"	0	0	0	1
14304	OBJECT	general_obj_stone05	돌5	-171.59	-145.52	171.59	145.52	0	0	360	300000	"90010,7"	0	0	0	1
14305	OBJECT	general_obj_stone06	돌6	-192.74	-201.58	192.74	201.58	0	0	360	300000	"90010,8"	0	0	0	1
14306	OBJECT	general_obj_stone07	돌7	-183.58	-184.01	183.58	184.01	0	0	360	300000	"90010,8"	0	0	0	1
14307	OBJECT	general_obj_stone08	돌8	-66.89	-56.67	66.89	56.67	0	0	360	300000	"90010,8"	0	0	0	1
14308	OBJECT	general_obj_stone09	돌9	-65.87	-53.47	65.87	53.47	0	0	360	300000	"90010,9"	0	0	0	1
14309	OBJECT	general_obj_stone10	돌10	-182.17	-123.03	182.17	123.03	0	0	360	300000	"90010,9"	0	0	0	1
																
14400	OBJECT	B1_PagodaTree_RT	나무1					0	0	360	2000000	"90011,5"	0	0	0	1
14401	OBJECT	B1_PagodaTree_RT3	나무2					0	0	360	2000000	"90011,5"	0	0	0	1
14402	OBJECT	B1_Sassafras_RT_Fall	나무3					0	0	360	2000000	"90011,7"	0	0	0	1
14403	OBJECT	B1_Sassafras_RT_Fall2	나무4					0	0	360	2000000	"90011,7"	0	0	0	1
14404	OBJECT	B3_ShingleOak_RT2	나무5					0	0	360	2000000	"90011,7"	0	0	0	1
14405	OBJECT	B2_IvySpy_RT	나무6					0	0	360	2000000	"90011,9"	0	0	0	1
14406	OBJECT	B2_IvySpy_RT4	나무7					0	0	360	2000000	"90011,9"	0	0	0	1
14407	OBJECT	B2_JapaneseMaple_RT_Fall	나무8					0	0	360	2000000	"90011,9"	0	0	0	1
14408	OBJECT	B2_JapaneseMaple_RT_Fall2	나무9					0	0	360	2000000	"90011,9"	0	0	0	1
