AFF_LOVE_POINT	הÞ״ֹ ָֽ :%d%%
MAP_A2	זַֿם ׃זהÛׁםזהÛ
MAP_A3	ֵÞבםד םַםַהÛ
MAP_AG	ּזהÛַׁהÛ
MAP_B1	ֵÞבםד ּזַה
MAP_B2	זַֿם ֵד-ּם
MAP_B3	ֵÞבםד ָßּהÛ
MAP_BG	זׁםזהÛ
MAP_C1	ֵÞבםד ָםזהÛדז
MAP_C2	זַֿם ָהÛ-׃ַה
MAP_C3	ֵÞבםד ָßֹׁ
MAP_CG	ַדוַ
MAP_DESERT	ױֱַֽׁ םהÛָם
MAP_FLAME	ֿזםזדוזַה
MAP_SKELTOWER	ָּׁ Ûד׃ַה
MAP_SNOW	ָּב ׃וַה
MAP_SPIDER	ßזובז ֿזהÛ
MAP_TEMPLE	דÚָֿ וזַהÛ
MAP_TREE	בהÛ׃ד
MAP_TRENT02	a
MAP_WL	b		
MAP_NUSLUCK	c
MESSENGER_ADD_FRIEND	ֵײַÝֹ ׁÝםÞ
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s ֵÊ־׀ß ױֿםÞ בו
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Þָזב¿
MESSENGER_DO_YOU_DELETE	ד׃ֽ¿
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	וב Êׁםֿ ד׃ֽ ׁÞד ַבדֽדזב¿
MESSENGER_DO_YOU_MOVE	וב Êׁםֿ ַבדÊַָÚֹ¿
MESSENGER_EMPTY_LIST	־ַב
MESSENGER_FAMILY	Úֶַבֹ
MESSENGER_FRIEND	ױֿםÞ
MESSENGER_GUILD	Ûבֿׁ
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	ֳֿ־ב ׁÞד ַבװÝֹׁ ַב׀ם ÊזױבÊ ָו Úבל וַÊÝß ַבדֽדזב.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	ֳֿ־ב ׁÞד ַבװÝֹׁ
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	ֳֿ־ב ׁÞד  וַÊÝß ַבדֽדזב בֵׁ׃ַב ַבׁ׃ַבֹ ַבÞױםֹׁ
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	וב Êםֿׁ ֵֿ־ַב ַבׁÞד ַבֲה¿
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	ֳֿ־ב ׁÞד ַבדֽדזב
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	ֵׁ׃ַב ׁ׃ַבֹ
MINIMAP	־ׁם״ֹ ױÛםֹׁ
MINIMAP_CANNOT_SEE	בַ םדßה ֵÙוַׁ ַב־ׁם״ֹ ַבױÛםֹׁ
MINIMAP_CAN_NOT_SHOW_AREAMAP	בַ םדßה ֵÙוַׁ ַב־ׁם״ֹ
MINIMAP_DEC_SCALE	ÊױÛםׁ
MINIMAP_INC_SCALE	Êßָםׁ
MINIMAP_OBSERVER_COUNT	דװַוֿםה %d
MINIMAP_SHOW_AREAMAP	־ׁם״ֹ ßָםֹׁ
MINUTE	ֿÞםÞֹ
MONETARY_UNIT0	םַהÛ
MONETARY_UNIT1	Úװֹׁ ַבַÝ
MONETARY_UNIT2	דֶֹ דבםזה
MONEY_INPUT_DIALOG_SELLPRICE	׃Úׁ ַבָםÚ:
MOVE_ITEM_FAILURE_PRIVATE_SHOP	בַ Ê׃Ê״םÚ הÞב ַבװםֱ Úהֿ ÊÝÊÊֽ דÊּׁ ־ַױ
MUSIC_EMPTY_MUSIC_LIST	בַ םזּֿ דז׃םÞל ־בÝםֹ
MUSIC_METIN2_DEFAULT_THEMA	דז׃םÞל Metin2 ַבֳ׃ַ׃םֹ
MUSIC_NOT_SELECT_MUSIC	בַ םזּֿ דז׃םÞל ד־Êַֹׁ
NEEFD_REST	Úבםß ַבֵ׃Êַֹֽׁ ֳזבַנ
NOT_YET_SUPPORT	Ûםׁ דֿÚדֹ
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	בַ םדßהß ÊÝÚםב ַבַָׁ״ֹ ֵבַ ֵ׀ַ Úײזַנ Ýםוַ.
OPTION_PVPMODE_NOT_SUPPORT	בַ םדßהß ֵ׃ÊÚדַב ־םַׁ בַÚָ ײֿ בַÚָ
OPTION_PVPMODE_PROTECT	ÊֽÊַּ Úבל ַבֳÞב ַבזױזב ֵבל ד׃Êזל %d ßם Êßזה Þַַֿׁנ Úבל ַ׃Ê־ַֿד ־םַׁ בַÚָ ײֿ בַÚָ.
PARTY_BONUS_ATTACKER	Þםדֹ ַבוּזד: +%d	SA
PARTY_BONUS_BERSERKER	׃ׁÚֹ ַבוּזד: +%d	SA
PARTY_BONUS_BUFFER	דֹֿ ַבדוַֹׁ:+%d	SA
PARTY_BONUS_DEFENDER	ַבֿÝַÚ: +%d	SA
PARTY_BONUS_EXP	הÞַ״ ־ָֹׁ ַײַÝםֹ: %d%%	SA
PARTY_BONUS_SKILL_MASTER	הÞַ״ ֳ׃בזָ Þױזל: +%d	SA
PARTY_BONUS_TANKER	הÞַ״ ֽםַֹ Þױזל:+%d	SA
PARTY_BREAK_UP	ד׃ֽ ַבדּדזÚֹ
PARTY_DO_YOU_ACCEPT	%s םׁÛָ Ýם ַבֵהײדַד ֵבל ַבדּדזÚֹ.
PARTY_DO_YOU_JOIN	¡ וב Êׁםֿ Þָזב ַבֿÚזֹ¿
PARTY_EXP_DISTRIBUTION_MODE	ÊÞ׃םד הÞַ״ ַב־ָֹׁ
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	ÊÞ׃םד ַבד׃ÊזםַÊ
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	ßב ד׃Êזל ֳÚבל םֽױב Úבל הÞַ״ ֳ׃בזָ ֳßֻׁ.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	ÊÞ׃םד דץÊף׃ףַזע
