AFF_LOVE_POINT	Pontos de Amor: %d%%
EMOTION_DANCE_5	Dançar5
EMOTION_DANCE_6	Cavalinho
EMOTION_CONGRATULATION	Parabenizar	
EMOTION_FORGIVE	Perdoar	
EMOTION_ANGRY	Enfurecer-se	
EMOTION_ATTRACTIVE	Seduzir	
EMOTION_SAD	Lamentar-se	
EMOTION_SHY	Timidez	
EMOTION_CHEERUP	Apoiar
EMOTION_BANTER	Provocar	
EMOTION_JOY	Alegrar-se	
EMOTION_CHEERS_1	Grito de Guerra	
EMOTION_CHEERS_2	Comemoração	
EMOTION_CHOOSE_ONE	Selecione um personagem.
EMOTION_CLAP	Aplausos	
EMOTION_CLAP_KISS	Beijo	
EMOTION_FRENCH_KISS	Beijo Apaixonado	
EMOTION_SLAP	Tapa	
EMPIRE_A	Shinsu
EMPIRE_B	Chunjo	
EMPIRE_C	Jinno	
EXCHANGE_CANNOT_GIVE	Não é possível trocar este item.	
EXCHANGE_CANT_EDIT_MONEY	Não é possível modificar a quantidade.	
EXCHANGE_FAILURE_EQUIP_ITEM	Não é possível trocar itens equipados.	
EXCHANGE_MONEY	Gold	
EXCHANGE_TITLE	Negociação com %s	
FISHING_FAILURE	Oh não! O peixe comeu a sua isca!	
FISHING_UNKNOWN	Não sei que tipo de peixe está fisgando!	
FISHING_WRONG_PLACE	Não é possível pescar neste local.	
GAME_CANNOT_MINING	Impossível minerar enquanto estiver montado.	
GAME_CANNOT_PICK_ITEM	Não é possível pegar itens que não lhe pertencem.	
GAME_INIT_ERROR_CURSOR	Falha na criação do cursor.	
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 necessita ser instalado para executar o jogo.\nInstale o DirectX 8.1 ou superior.	
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Não foi possível encontrar o dispositivo gráfico para a executar o jogo.\nVerifique se sua placa de vídeo foi instalada corretamente.	
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Falha na criação do dispositivo gráfico.\nVerifique se seu dispositivo gráfico atende os requerimentos mínimos.\nOu acione a aceleração de hardware.\n(Mantenha a aceleração por hardware ao máximo \ndo Painel de Controle->Vídeo->Configurações->Avançado->Aba de Solução de Problemas)	
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Seu dispositivo gráfico não suporta o modo de janela na configuração de 32-bit.\nAltere para a configuração para 16-bit ou utilize o modo de tela cheia.	
GAME_INIT_ERROR_ITEM_PROTO	Não possui dados do item.\nPor favor reinstale o jogo novamente.	
GAME_INIT_ERROR_MAIN_WINDOW	Falha na criação da interface.	
GAME_INIT_ERROR_MOB_PROTO	Não possui dados de monstros.\nPor favor reinstale o jogo novamente.	
GAME_INIT_ERROR_NETWORK	Falha na criação do dispositivo de rede.\nPor favor verifique sua conexão de internet.	
GAME_PICK_MONEY	Adquiriu %d Gold.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	A altura não possui 128 pixels	
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	A altura não possui 12 pixels	
GUILDMARK_UPLOADER_ERROR_16_WIDTH	A largura não possui 16 pixels	
GUILDMARK_UPLOADER_ERROR_64_WIDTH	A largura não possui 64 pixels	
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	O tipo da imagem não é compatível com o jogo.	
GUILDMARK_UPLOADER_ERROR_PATH	Por favor, posicione os arquivos no diretório metin2/upload	
GUILDMARK_UPLOADER_ERROR_SELECT	Nenhuma imagem foi selecionada.	
GUILDWAR_CTF_TITLE	Captura de Bandeira
GUILDWAR_NORMAL_TITLE	Batalha entre Guildas	
GUILDWAR_QUESTION_LINE_1	%s declarou guerra contra sua Guilda.	
GUILDWAR_QUESTION_LINE_2	Aceita o desafio de %s?	
GUILDWAR_UNKNOWN_TITLE	...	
GUILDWAR_WARP_TITLE	Arena de Guerra	
GUILD_BUILDING_GRADE	Nível
GUILD_BUILDING_NAME	Nome
GUILD_CANNOT_HEAL_GSP_ANYMORE	Pontos de Skill da Guilda completos, impossível adicionar.	
GUILD_COMMENT	Enviar	
GUILD_CREATE_ERROR_INSULT_NAME	O nome da Guilda é inapropriado.	
GUILD_DEFAULT_GRADE	Membros da Guilda
GUILD_DELETE	Apagar	
GUILD_DEPOSIT	Doar Gold	
GUILD_DO_YOU_HEAL_GSP	Quer utilizar %d Gold para restaurar %d GSP?	
GUILD_DO_YOU_JOIN	: Aceita se unir a essa Guilda?	
GUILD_EMPTY_AREA	Vazio	
GUILD_ENEMY_GUILD_NAME	Guilda inimiga	
GUILD_GEM	Pedra	
GUILD_HEAL_GSP	Restaurar GSP	
GUILD_INFO_ENEMY_GUILD_EMPTY	Vazio	
GUILD_NAME	Nome	
GUILD_NOT_ENOUGH_MATERIAL	Você não tem material suficiente para a construção.	
GUILD_NOT_ENOUGH_MONEY	Você não possui Gold suficiente para a construção.	
GUILD_NO_NOTICE_PERMISSION	Você não possui autoridade para enviar a mensagem.	
GUILD_OFFER_EXP	Investir Experiência
GUILD_SHORT_EXP	Não possui experiência suficiente.
GUILD_TILE_BASEINFO	Informações da Guilda
GUILD_TILE_BOARD	Quadro de Mensagens
GUILD_TILE_GRADE	Títulos e Permissões
GUILD_TILE_INFO	Informações da Guilda
GUILD_TILE_MEMBER	Membros da Guilda
GUILD_TILE_SKILL	Skills da Guilda
GUILD_WAR_LIMIT_30MIN	Tempo: 30 minutos	
GUILD_WAR_REWARD_POTION	Recompensa: o vencedor recebe poções.	
GUILD_WAR_USE_BATTLE_MAP	Ocorre na Arena de Guerra.
GUILD_WAR_USE_NORMAL_MAP	Ocorre no mapa normal.	
GUILD_WAR_WIN_CHECK_SCORE	Guilda com maior pontuação vence.	
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Capture a bandeira inimiga e
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	traga a bandeira para a base de sua Guilda.	
GUILD_WAR_WIN_WIPE_OUT_GUILD	Derrote todos os oponentes para vencer.	
GUILD_WITHDRAW	Retirar Gold	
GUILD_YOU_DO_NOT_JOIN	Você não pertence a nenhuma Guilda.
HORSE_HEALTH0	Morto	
HORSE_HEALTH1	Faminto	
HORSE_HEALTH2	Normal
HORSE_HEALTH3	Satisfeito
HORSE_LEVEL1	Pônei	
HORSE_LEVEL2	Cavalo	
HORSE_LEVEL3	Cavalo de Guerra	
HOUR	h	
INPUT_MATRIX_CARD_NUMBER	Introduza o número do Matrix Card	
INPUT_MATRIX_CARD_TITLE	Matrix Card	
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Insira o código de 7 dígitos (Mês/Dia/CPF)
INPUT_PRIVATE_CODE_DIALOG_TITLE	Excluir o personagem
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Não é possível mesclar o Scroll of Return.	
INVENTORY_REALLY_USE_ITEM	Quer utilizar este item?	
JOB_ASSASSIN	Ninja	
JOB_ASSASSIN0	Ninja Aprendiz	
JOB_ASSASSIN1	Força Ninja	
JOB_ASSASSIN2	Força Arqueira	
JOB_SHAMAN	Shaman	
JOB_SHAMAN0	Shaman Aprendiz	
JOB_SHAMAN1	Força Dragão	
JOB_SHAMAN2	Força Relâmpago	
JOB_SURA	Shura	
JOB_SURA0	Shura Aprendiz	
JOB_SURA1	Força Miragem	
JOB_SURA2	Força Negra	
JOB_WARRIOR	Guerreiro	
JOB_WARRIOR0	Guerreiro Aprendiz	
JOB_WARRIOR1	Força Arahan	
JOB_WARRIOR2	Força Partizan	
LEFT_TIME	Tempo restante	
LOGIN_CONNECT_FAILURE	Falha de conexão com o servidor.	
LOGIN_CONNECT_SUCCESS	Conexão com o servidor estabelecida.
LOGIN_CONNETING	Conectando...	
LOGIN_FAILURE_ALREAY	A conta já está conectada.	
LOGIN_FAILURE_BE_SAME_KEY	O Login apresentou um erro.	
LOGIN_FAILURE_BLOCK_ID	Conta bloqueada. Consulte nosso site para mais informações.
LOGIN_FAILURE_NOBILL	A conta não possui tempo de jogo registrado.	
LOGIN_FAILURE_NOT_AVAIL	A conta não está disponível.	
LOGIN_FAILURE_NOT_EXIST_ID	ID não existe.	
LOGIN_FAILURE_REPAIR_ID	Aguarde, sua conta está sendo analisada pelos GM's.
LOGIN_FAILURE_SHUTDOWN	O servidor está em manutenção, acesse o site www.metin2.com.br para maiores informações	
LOGIN_FAILURE_TOO_MANY_USER	Não foi possível conectar pois o servidor se encontra cheio no momento.	
LOGIN_FAILURE_UNKNOWN	Falha no Login por erro desconhecido.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Erro na digitação dos dados.	
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Erro na digitação dos dados pela terceira vez consecutiva. A conexão será encerrada.	
LOGIN_FAILURE_WRONG_PASSWORD	Senha incorreta.
LOGIN_INPUT_ID	Digite o ID.	
LOGIN_INPUT_PASSWORD	Digite a senha.	
LOGIN_PROCESSING	Logando...
LOGIN_FAILURE_FLASH_USER	Não é possível jogar com esse tipo de conta
MALL_CANNOT_INSERT	Não é possível colocar o item no Item Shop.	
MALL_PASSWORD_TITLE	Senha	
MAP_A1	Centro Shinsu	
MAP_A2	Vale Suryong	
MAP_A3	Vila Jayang	
MAP_AG	Forte Jurang	
MAP_B1	Centro Chonjo	
MAP_B2	Vale de Fugus	
MAP_B3	Vila Bokujong	
MAP_BG	Forte Waryon	
MAP_C1	Centro Jinno	
MAP_C2	Montanha Cenran	
MAP_C3	Vila Bakura	
MAP_CG	Forte Imura	
MAP_DESERT	Deserto Yonbi	
MAP_FLAME	Campo Doyama	
MAP_SKELTOWER	Torre Demoníaca	
MAP_SNOW	Montanha Sohan	
MAP_SPIDER	Caverna Sombria	
MAP_TEMPLE	Templo Secreto
MAP_TREE	Floresta Selvagem
MAP_TRENT02	Floresta_Jokui		
MAP_WL	Deserto_Sawan	  
MAP_NUSLUCK	Sawang
MESSENGER_ADD_FRIEND	Adicionar contato
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s quer adicionar você como contato	
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Você aceita?	
MESSENGER_DO_YOU_DELETE	Deseja realmente remover o contato?	
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Deseja excluir o número do celular?	
MESSENGER_DO_YOU_MOVE	Deseja mover o contato?	
MESSENGER_EMPTY_LIST	Vazio	
MESSENGER_FAMILY	Família	
MESSENGER_FRIEND	Amigos	
MESSENGER_GUILD	Guilda	
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Adicione o número de validação enviado para o seu celular.	
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Adicione o número de validação.	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Adicione o número do celular para envio de SMS.	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Você quer adicionar o número agora?	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Adicione o número do celular.	
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Enviar mensagem
MINIMAP	Mini-mapa	
MINIMAP_CANNOT_SEE			Mapa indisponível	
MINIMAP_CAN_NOT_SHOW_AREAMAP	Mapa indisponível
MINIMAP_DEC_SCALE	Menos Zoom	
MINIMAP_INC_SCALE	Mais Zoom	
MINIMAP_OBSERVER_COUNT	%d espectadores	
MINIMAP_SHOW_AREAMAP	Mostrar Mapa	
MINUTE	m
MONEY_INPUT_DIALOG_SELLPRICE	Preço do item: 	
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Não é possível mover o item enquanto a Loja Particular estiver aberta.	
MUSIC_EMPTY_MUSIC_LIST	Não contém BMG.	
MUSIC_METIN2_DEFAULT_THEMA	BGM Padrão Metin 2	
MUSIC_NOT_SELECT_MUSIC	Não está selecionado um arquivo de música.	
NEEFD_REST	Necessita descanso.	
NOT_YET_SUPPORT	Não apresenta suporte.	
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Não é possível selecionar esse modo caso não seja membro de uma Guilda.	
OPTION_PVPMODE_NOT_SUPPORT	Não é possível utilizar essa configuração do modo PvP.	
OPTION_PVPMODE_PROTECT	É necessário estar no nível %d para configurar o modo PvP.	
PARTY_BONUS_ATTACKER	Ataque: +%d	SA
PARTY_BONUS_BERSERKER	Velocidade de Ataque: +%d	SA
PARTY_BONUS_BUFFER	Duração de Skills: +%d	SA
PARTY_BONUS_DEFENDER	Defesa: +%d	SA
PARTY_BONUS_EXP	Experiência bônus: %d%%	SA
PARTY_BONUS_SKILL_MASTER	MP máximo: +%d	SA
PARTY_BONUS_TANKER	HP máximo: +%d	SA
PARTY_BREAK_UP	Encerrar grupo
PARTY_DO_YOU_ACCEPT	 deseja participar do seu grupo. Você aceita? 	
PARTY_DO_YOU_JOIN	Você aceita o convite para grupo?	
PARTY_EXP_DISTRIBUTION_MODE	Divisão de Exp:	
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Nível	
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Recebe mais experiência o personagem de maior nível	
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Igual	
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Todos recebem a mesma quantidade de experiência	
PARTY_HEAL_ALL_MEMBER	Recupera completamente.	
PARTY_INCREASE_AREA_150	Aumenta o alcance do grupo em 1.5 vezes	SNA
PARTY_INCREASE_AREA_200	Aumenta o alcance do grupo em 2 vezes	SNA
PARTY_LEAVE	Sair do grupo	
PARTY_LONGTIME_BONUS_EXP	Exp. bônus por longa duração: +%d%%	SA
PARTY_MEMBER_OFFLINE	[Offline]	
PARTY_RECALL_MEMBER	Convocar membro do grupo	
PARTY_REGEN_BONUS	Bônus na regeneração de HP & MP: +%d%%	SA
PARTY_REQUEST_DENIED	Você recusou o convite do grupo.	
PARTY_SET_ATTACKER	Selecionar como Ofensivo	
PARTY_SET_BERSERKER	Selecionar como Ágil
PARTY_SET_BUFFER	Selecionar como Suporte	
PARTY_SET_DEFENDER	Selecionar como Defensivo	
PARTY_SET_NORMAL	Cancelar a seleção
PARTY_SET_SKILL_MASTER	Selecionar como Místico	
PARTY_SET_TANKER	Selecionar como Resistente	
PARTY_SKILL_ATTACKER	Ataque: +%.0f	
PARTY_SKILL_BERSERKER	Velocidade de Ataque: +%.0f	
PARTY_SKILL_BUFFER	Duração de Skills Passivas: +%.0f	
PARTY_SKILL_DEFENDER	Defesa: +%.0f	
PARTY_SKILL_HP_REGEN	Regeneração de HP: +%.0f%%	
PARTY_SKILL_PARTY_AREA	Área de ataque: +%d%%	
PARTY_SKILL_SKILL_MASTER	MP máximo: +%.0f	
PARTY_SKILL_SP_REGEN	Regeneração de MP: +%.0f%%	
PARTY_SKILL_TANKER	HP máximo: +%.0f	
PARTY_SKILL_WARP	É possível convocar um membro do grupo
PASSWORD_TITLE	Senha do armazém
PICK_ITEM_TITLE	Item
PICK_MONEY_TITLE	Gold	
PRIVATE_SHOP_CANNOT_SELL_ITEM	Não é possível a venda do item na Loja Particular.	
PRIVATE_SHOP_CLOSE_QUESTION	Deseja fechar a Loja Particular?	
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Nome da Loja Particular:	
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Preço	
PVP_LEVEL0	Admirável	
PVP_LEVEL1	Nobre	
PVP_LEVEL2	Integro	
PVP_LEVEL3	Valioso	
PVP_LEVEL4	Civil	
PVP_LEVEL5	Malfeitor	
PVP_LEVEL6	Marginal	
PVP_LEVEL7	Criminoso	
PVP_LEVEL8	Vilão	
PVP_MODE_GUILD	Modo PvP Guilda selecionado.	
PVP_MODE_KILL	Modo PvP Livre selecionado.	
PVP_MODE_NORMAL	Modo PvP Pacífico selecionado.
PVP_MODE_PROTECT	PvP desativado.	
PVP_MODE_REVENGE	Modo PvP Honra selecionado.
PVP_OPTION_KILL	Livre	
PVP_OPTION_NORMAL	Normal
PVP_OPTION_PROTECT	Pacífico	
PVP_OPTION_REVENGE	Honra
QUEST_APPEND	Uma nova quest foi adicionada.	
QUEST_MIN	m
QUEST_SEC	s	
QUEST_TIMEOVER	Tempo esgotado	
QUEST_UNLIMITED_TIME	Sem limite de tempo	
QUEST_ZEROSEC	0s
QUICKSLOT_REGISTER_DISABLE_ITEM	Este item não pode ser adicionado na barra de atalhos.	
RECEIVE_MESSAGE	%s enviou uma mensagem.	
REFINE_COST	Custo da refinação: %d Gold	
REFINE_DESTROY_WARNING	Em caso de falha na refinação, o item será destruído.	
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Irá aumentar as chances de sucesso na refinação.	
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	O item será destruído no caso de falha. Deseja continuar?	
REFINE_DOWN_GRADE_WARNING	O item perderá refinação no caso de falha!
REFINE_DO_YOU_SEPARATE_METIN	Deseja remover a Jóia?	
REFINE_FAILURE	Oh não! Houve uma falha no processo de refinação!
REFINE_FAILURE_EQUIP_ITEM	Não é possível refinar um item equipado.	
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Não há uma Pedra para ser removida.	
REFINE_FAILURE_NEED_BETTER_SCROLL	É necessário um Pergaminho melhor para a refinação.	
REFINE_FAILURE_NO_MORE_SOCKET	Não é possível a criação de Slots adicionais.	
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Não é possível a criação de Slots adicionais neste item.	
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Não é possível refinar este item.	
REFINE_SUCCESS	Parabéns, o item foi refinado com sucesso!	
REFINE_SUCCESS_PROBALITY	Chances de sucesso na refinação: %d%%	
REFINE_WARNING2	Deseja continuar?	
SAFEBOX_ERROR	A senha está incorreta.	
SAFEBOX_SELL_DISABLE_SAFEITEM	Não é possível guardar este item no armazém.	
SAFEBOX_WRONG_PASSWORD	Ambas as senhas necessitam ser idênticas.	
SCREENSHOT_SAVE1	A screenshot será salva em	
SCREENSHOT_SAVE2	Metin2/screenshot	
SCREENSHOT_SAVE_FAILURE	Falha ao salvar a Screenshot.
SECOND	s
SELECT_CAN_NOT_DELETE	Não foi possível excluir o personagem.	
SELECT_CHANGED_NAME	O nome do personagem foi alterado.	
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Nome já está em uso.	
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Por favor, tente mais tarde.	
SELECT_CHANGE_FAILURE_STRANGE_NAME	O nome do personagem está incorreto.	
SELECT_CHANGE_NAME_TITLE	Alterar o nome do personagem	
SELECT_DELEING	Excluindo o personagem...	
SELECT_DELETED	Personagem excluído.
SELECT_DO_YOU_DELETE_REALLY	Deseja continuar?	
SELECT_EMPTY_SLOT	É possível a criação de personagem.	
SELECT_GM_NAME	GM	
SELECT_INPUT_CHANGING_NAME	Por favor, insira um novo nome para o personagem.	
SELECT_NOT_JOIN_GUILD	Sem Guilda	
SHOP_BUY_INFO	Selecione o item que deseja comprar.	
SHOP_CANNOT_SELL_EQUIPMENT	Não é possível vender um item equipado.	
SHOP_CANNOT_SELL_ITEM	Não é possível vender este item.	
SHOP_ERROR_UNKNOWN	Erro desconhecido do Shop: %s	
SHOP_INVALID_POS	Este é um nome inapropriado.	
SHOP_INVENTORY_FULL	Não existe mais espaço livre em seu inventário.	
SHOP_NOT_ENOUGH_MONEY	Não possui Gold suficiente.	
SHOP_SELL_INFO	Selecione o item de seu inventário para a venda.	
SHOP_SOLDOUT	Vendido	
SHOT_ERROR_UNKNOWN	Erro desconhecido de ataque a longa distância: %s	
SKILL_BOHO	Escudo Espelhado
SKILL_BUDONG	Aumento	
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Faltam pontos de Skill.	
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Falta o Livro da Skill.	
SKILL_CHEONGEUN	Defesa Superior
SKILL_CRITICAL	Bônus de Crítico
SKILL_ENCHANT_POISON	Arma evenenada	
SKILL_EUNHYEONG	Invisibilidade
SKILL_FAINT	Desmaiado
SKILL_FIND_TRAP	Descobrir Armadilha
SKILL_FIRE	Queimaduras
SKILL_FISHMIND	Manual de Pesca
SKILL_GAMJI	Detectar
SKILL_GEOMGYEONG	Lâmina Espiritual	
SKILL_GEONGON	Trevas e Luz
SKILL_GICHEON	Olhos de Dragão	
SKILL_GIGONG	Ferimentos
SKILL_GONGPO	Medo	
SKILL_GRADE_NAME_GRAND_MASTER	%s Grand Master	
SKILL_GRADE_NAME_MASTER	%s Master	
SKILL_GRADE_NAME_PERFECT_MASTER	%s Perfect Master	
SKILL_GROUP_ASSASSIN_1	Ninja	
SKILL_GROUP_ASSASSIN_2	Arqueira	
SKILL_GROUP_HORSE	Montaria	
SKILL_GROUP_SHAMAN_1	Dragão	
SKILL_GROUP_SHAMAN_2	Relâmpago	
SKILL_GROUP_SURA_1	Miragem	
SKILL_GROUP_SURA_2	Negra	
SKILL_GROUP_WARRIOR_1	Arahan	
SKILL_GROUP_WARRIOR_2	Partizan	
SKILL_GWIGEOM	Lâmina Sombria
SKILL_GYEONGGONG	Passos Leves		
SKILL_HEUKSIN	Proteção das Sombras	
SKILL_HOSIN	Escudo de Dragão	
SKILL_HWAYEOM	Fogo das Sombras	
SKILL_HYEOLMA	Ruptura	
SKILL_INC_ATKSPD	Bônus na Velocidade de Ataque	
SKILL_INC_MOVSPD	Bônus em Movimento	
SKILL_INMA	Ataque desolador	
SKILL_JEOJU	Maldição	
SKILL_JEONGEOP	Curar Ferimentos	
SKILL_JEONGWI	Fúria	
SKILL_JEONSINBANGEO	Aura de Líder	
SKILL_JEONSINGONGGYEOK	Ataque máximo	
SKILL_JEUNGCHE	Crescimento	
SKILL_JEUNGHON	Salto	
SKILL_JEUNGRYEOK	Encantamentos Naturais	
SKILL_JEUNGSOK	Bônus de Velocidade
SKILL_JIGAM	Dragão Sombrio	
SKILL_JIPJUNG	Concentrar Defesa	
SKILL_JUMAGAP	Aura Negra	
SKILL_JUMAGEOM	Fúria Demoníaca	
SKILL_KWAEGEOM	Frenesi Divino	
SKILL_KWAESOK	Passos de Pluma	
SKILL_LEGBOUND	Imobilizar	
SKILL_MUSA	Concentrar	
SKILL_MUYEONG	Evocar Elemental
SKILL_NEED_EMPTY_BOTTLE	Não possui uma Garrafa vazia.	
SKILL_NEED_POISON_BOTTLE	Não possui uma Garrafa de veneno.	
SKILL_ONLY_FOR_GUILD_WAR	A Skill só pode ser utilizada durante Guerras entre Guildas.	
SKILL_PABEOP	Magia dissipada
SKILL_POWERFUL_STRIKE	Ataque Atordoante	
SKILL_SEOMGWANG	Brilho Cegante	
SKILL_SINCHAK	Aumento	
SKILL_SLEEP	Sono	
SKILL_SLOW	Lentidão	
SKILL_STUN	Atordoar	
SKILL_SUHO	Guardião	
SKILL_SUMMON_DESCRIPTION	Chance de convocar: %d%%	
SKILL_TOOLTIP_INT	INT	
SKILL_TOOLTIP_LEVEL	Nível	
SKILL_TOXICDIE	Veneno	
SKILL_TOXICPOWER	Veneno Mortal	
SKILL_TUSOK	Magia Negra	
SKILL_WONSIN	Benção do Dragão	
SKILL_YONGSIN	Espírito do Dragão	
