AFF_LOVE_POINT	琴瑟 : %d%%
CREATE_GM_NAME	運營
CREATE_INPUT_NAME	請輸入角色名
CREATE_PLUS_STAT	剩餘屬性點
DAY	日
DO_YOU_BUY_ITEM1	%s 以%s 兩購買嗎？
DO_YOU_BUY_ITEM2	%s %s個 以%s 兩購買嗎？
DO_YOU_DROP_MONEY	確定要丟掉%d金幣嗎？
DO_YOU_SELL_ITEM1	%s 以 %s 兩出售嗎？
DO_YOU_SELL_ITEM2	%s %s個 以%s 兩出售嗎？
DROP_ITEM_FAILURE_EQUIP_ITEM	無法丟掉已佩帶的裝備
DROP_ITEM_FAILURE_PRIVATE_SHOP	開啟個人商店時不能丟棄物品
DROP_MONEY_FAILURE_1000_OVER	無法丟掉1000以上金幣
EMOTION_ANGRY	生氣
EMOTION_ATTRACTIVE	誘惑
EMOTION_BANTER	捉弄
EMOTION_CHEERS_1	歡呼 1
EMOTION_CHEERS_2	歡呼 2
EMOTION_CHEERUP	打氣
EMOTION_CHOOSE_ONE	選擇對方
EMOTION_CLAP	鼓掌
EMOTION_CLAP_KISS	接吻
EMOTION_CONGRATULATION	祝賀
EMOTION_DANCE_1	跳舞1
EMOTION_DANCE_2	跳舞2	
EMOTION_DANCE_3	跳舞3	
EMOTION_DANCE_4	跳舞4	
EMOTION_DANCE_5	跳舞5	
EMOTION_FORGIVE	原諒
EMOTION_FRENCH_KISS	熱吻
EMOTION_JOY	高興
EMOTION_SAD	悲傷
EMOTION_SHY	害羞
EMOTION_SLAP	耳光
EMPIRE_A	新受國
EMPIRE_B	天調國
EMPIRE_C	進勞國
EXCHANGE_CANNOT_GIVE	不能交換的物品
EXCHANGE_CANT_EDIT_MONEY	決定的數額不能變更
EXCHANGE_FAILURE_EQUIP_ITEM	無法交換已佩帶的裝備
EXCHANGE_MONEY	交換金幣
EXCHANGE_TITLE	和%s 的交換
FISHING_FAILURE	狡猾的魚吃了魚餌後,迅速逃跑了。
FISHING_NOTIFY1	%s 看上去可能快上吊了
FISHING_NOTIFY2	%s 看上去可能已經上吊了
FISHING_SUCCESS1	取得%s!
FISHING_SUCCESS2	獲得%s
FISHING_UNKNOWN	不知道什麼東西上鉤
FISHING_WRONG_PLACE	無法在這裏釣魚
FOR_FEMALE	女性用
FOR_MALE	男性用
GAME_CANNOT_MINING	不能騎馬採礦
GAME_CANNOT_PICK_ITEM	此物品不屬於你,無權拾取
GAME_INIT_ERROR_CURSOR	滑鼠顯示失敗
GAME_INIT_ERROR_DIRECTX	DirectX版本太低。\n請安裝DirectX8.1以上的版本
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	偵測顯卡失敗\n請確認您的顯卡能否運行此遊戲
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	顯卡初始化失敗\n請確認您的顯卡是否支援此遊戲\n或確認硬體加速是否打開\n控制面板->顯示->設置，點高級按扭\n->在’疑難解答’選項中把硬體加速調到最高
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	您的顯卡不支援32位元的視窗模式。\n設成16位元或全屏模式。
GAME_INIT_ERROR_ITEM_PROTO	裝備資訊錯誤。\n請重新安裝遊戲
GAME_INIT_ERROR_MAIN_WINDOW	主頁面顯示失敗
GAME_INIT_ERROR_MOB_PROTO	怪物資訊錯誤。\n請重新安裝遊戲
GAME_INIT_ERROR_NETWORK	網路初始化失敗。\n請檢查與internet的連接狀態
GAME_PICK_MONEY	獲得%d 金幣
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	長度不是128
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	長度應為12 
GUILDMARK_UPLOADER_ERROR_16_WIDTH	寬度應為16
GUILDMARK_UPLOADER_ERROR_64_WIDTH	寬度不是64
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	無法載入的公會圖示
GUILDMARK_UPLOADER_ERROR_PATH	請把公會標誌存放在龍驅 online/upload 文件夾下
GUILDMARK_UPLOADER_ERROR_SELECT	沒有相應的公會圖示
GUILDWAR_CTF_TITLE	顛覆戰
GUILDWAR_NORMAL_TITLE	地盤戰
GUILDWAR_QUESTION_LINE_1	%s 公會向您公會發出了挑戰書.
GUILDWAR_QUESTION_LINE_2	是否接受? (%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	霸王戰
GUILD_BUILDING_GRADE	等級
GUILD_BUILDING_NAME	建築物名稱
GUILD_CANNOT_HEAL_GSP_ANYMORE	沒有必要恢復龍神力
GUILD_COMMENT	載入文字
GUILD_CREATE_ERROR_INSULT_NAME	公會名稱不是很恰當或已經被佔用,請重新取名
GUILD_DEFAULT_GRADE	公會會員
GUILD_DELETE	刪除
GUILD_DEPOSIT	存錢
GUILD_DO_YOU_HEAL_GSP	使用%d 金幣,恢復 %d 龍神力.
GUILD_DO_YOU_JOIN	要加入公會嗎？
GUILD_EMPTY_AREA	空地
GUILD_ENEMY_GUILD_NAME	對方公會名稱
GUILD_FACILITY	Outbuilding	
GUILD_GEM	寶石
GUILD_HEADQUARTER	Main Building
GUILD_HEAL_GSP	龍神力恢復
GUILD_INFO_ENEMY_GUILD_EMPTY	沒有
GUILD_MARK_NOT_ENOUGH_LEVEL	Minimum level of 4 required
GUILD_NAME	公會名稱
GUILD_NOT_ENOUGH_MATERIAL	因材料不足，不能建築房屋
GUILD_NOT_ENOUGH_MONEY	因金錢不足，不能建築房屋
GUILD_NO_NOTICE_PERMISSION	您沒有寫公告的許可權
GUILD_OBJECT	Objects	
GUILD_OFFER_EXP	 要分配的經驗值
GUILD_SHORT_EXP	經驗值不夠
GUILD_TILE_BASEINFO	基地資訊
GUILD_TILE_BOARD	提示板
GUILD_TILE_GRADE	職位管理
GUILD_TILE_INFO	公會信息
GUILD_TILE_MEMBER	公會會員
GUILD_TILE_SKILL	公會技能
GUILD_WAR_LIMIT_30MIN	戰鬥時間為30分鐘
GUILD_WAR_REWARD_POTION	獲勝一方獲得血瓶獎勵
GUILD_WAR_USE_BATTLE_MAP	使用專用地圖
GUILD_WAR_USE_NORMAL_MAP	使用現有地圖
GUILD_WAR_WIN_CHECK_SCORE	分數高的公會取得勝利
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	搶奪對方的旗幟，扛到自己基地
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	把對方旗幟先插到自己基地的一方取得勝利
GUILD_WAR_WIN_WIPE_OUT_GUILD	消滅對方全部公會成員的公會取得勝利
GUILD_WITHDRAW	取錢
GUILD_YOU_DO_NOT_JOIN	您還沒有加入公會
HORSE_HEALTH0	死亡
HORSE_HEALTH1	疲勞
HORSE_HEALTH2	饑餓
HORSE_HEALTH3	喂飽
HORSE_LEVEL1	幼馬
HORSE_LEVEL2	成年馬
HORSE_LEVEL3	良駒
HOUR	小時
HOW_MANY_ITEM_DO_YOU_DROP1	想丟棄%s嗎?
HOW_MANY_ITEM_DO_YOU_DROP2	想放棄%s%s個嗎?
INPUT_MATRIX_CARD_NUMBER	請輸入矩陣卡上對應的密碼
INPUT_MATRIX_CARD_TITLE	矩陣卡
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	請輸入刪除角色密碼	
INPUT_PRIVATE_CODE_DIALOG_TITLE	刪除角色
INVENTORY_DO_NOT_PACK_WARP_SCROLL	記憶卷軸不能重疊
INVENTORY_REALLY_USE_ITEM	確定要充值嗎?
JOB_ASSASSIN	刺客
JOB_ASSASSIN0	見習刺客
JOB_ASSASSIN1	鋒刀
JOB_ASSASSIN2	百羿
JOB_SHAMAN	先知	
JOB_SHAMAN0	見習先知
JOB_SHAMAN1	潛龍
JOB_SHAMAN2	狂雷
JOB_SURA	修羅
JOB_SURA0	見習修羅
JOB_SURA1	幻武
JOB_SURA2	黑魔
JOB_WARRIOR	猛將
JOB_WARRIOR0	見習猛將
JOB_WARRIOR1	氣宗
JOB_WARRIOR2	劍宗
LEFT_TIME	剩餘時間
LOGIN_CONNECT_FAILURE	連接伺服器失敗
LOGIN_CONNECT_SUCCESS	連接伺服器成功
LOGIN_CONNETING	正在連接中
LOGIN_FAILURE_ALREAY	此帳號正在進行遊戲
LOGIN_FAILURE_BE_SAME_KEY	登錄遊戲出現錯誤。
LOGIN_FAILURE_BLOCK_ID	帳號凍結中，請與官方客服連絡。
LOGIN_FAILURE_BLOCK_LOGIN	Please choose one of the other servers!
LOGIN_FAILURE_NOBILL	您的帳號未充值
LOGIN_FAILURE_NOT_AVAIL	此帳號暫時還未開通
LOGIN_FAILURE_NOT_EXIST_ID	輸入的帳號不存在
LOGIN_FAILURE_REPAIR_ID	目前處於物品恢復中的帳號
LOGIN_FAILURE_SHUTDOWN	伺服器維護中……請稍候登錄
LOGIN_FAILURE_TOO_MANY_USER	用戶登陸過多，請稍後連接
LOGIN_FAILURE_UNKNOWN	不知明的錯誤(%d)，登錄失敗
LOGIN_FAILURE_WEB_BLOCK	test
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	輸入的矩陣卡密碼錯誤
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	程式將立即關閉
LOGIN_FAILURE_WRONG_PASSWORD	密碼錯誤
LOGIN_INPUT_ID	請輸入帳號
LOGIN_INPUT_PASSWORD	請輸入密碼
LOGIN_PROCESSING	正在登錄
MALL_CANNOT_INSERT	物品mall不能放進物品
MALL_PASSWORD_TITLE	密碼
MAP_A1	永安邑城
MAP_A2	昇龍谷
MAP_A3	資陽縣
MAP_AG	中浪縣
MAP_B1	潮安邑城
MAP_B2	林芝穀
MAP_B3	福鼎縣
MAP_BG	臥龍縣
MAP_C1	平武邑城
MAP_C2	房山谷
MAP_C3	博羅縣
MAP_CG	林河縣
MAP_DESERT	影悲沙漠
MAP_FLAME	閻魔火地
MAP_NUSLUCK	Land of Giants
MAP_SKELTOWER	亡靈塔
MAP_SNOW	舒寒山
MAP_SPIDER	盤絲洞
MAP_TEMPLE	喃喏寺
MAP_TREE	鬼木林
MAP_TRENT02	Red Forest
MAP_WL	Snakefield
MESSENGER_ADD_FRIEND	添加好友
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s把你加入到好友目錄
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	你接受嗎?
MESSENGER_DO_YOU_DELETE	確定要刪除嗎？
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	確定要刪除手機號碼嗎?
MESSENGER_DO_YOU_MOVE	確定要移動嗎?
MESSENGER_EMPTY_LIST	現在為空
MESSENGER_FAMILY	家族
MESSENGER_FRIEND	好友
MESSENGER_GUILD	公會
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	請輸入手機短信接收的認證號碼
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	輸入認證號碼
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	不輸入手機號碼,無法發送短信
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	現在要輸入號碼嗎?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	輸入手機號碼
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	要發送的短信內容
MINIMAP	小地圖
MINIMAP_CANNOT_SEE	無法查看小地圖
MINIMAP_CAN_NOT_SHOW_AREAMAP	無法查看整體地圖
MINIMAP_DEC_SCALE	縮小
MINIMAP_INC_SCALE	放大
MINIMAP_OBSERVER_COUNT	觀戰者為 %d 
MINIMAP_SHOW_AREAMAP	整體地圖
MINUTE	分
MONETARY_UNIT0	兩
MONETARY_UNIT1	萬
MONETARY_UNIT2	億
MONEY_INPUT_DIALOG_SELLPRICE	售價 : 
MOVE_ITEM_FAILURE_PRIVATE_SHOP	開個人商店時不能移動物品位置
MUSIC_EMPTY_MUSIC_LIST	沒有相應的音樂檔
MUSIC_METIN2_DEFAULT_THEMA	龍駒默認背景音樂
MUSIC_NOT_SELECT_MUSIC	沒有選擇的音樂檔
NEEFD_REST	需要休息
NOT_YET_SUPPORT	暫時沒有開放此功能
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	未加入公會的角色不可以設定公會模式
OPTION_PVPMODE_NOT_SUPPORT	現在無法進行 PvP 對戰.
OPTION_PVPMODE_PROTECT	%d等級以上才可以進行 PvP 對戰.
PARTY_BONUS_ATTACKER	攻擊力 : +%d	SA
PARTY_BONUS_BERSERKER	攻擊速度 : +%d	SA
PARTY_BONUS_BUFFER	技能持續時間 : +%d	SA
PARTY_BONUS_DEFENDER	防禦力 : +%d	SA
PARTY_BONUS_EXP	獎勵經驗值 : %d%%	SA
PARTY_BONUS_SKILL_MASTER	最大精神力 : +%d	SA
PARTY_BONUS_TANKER	最大生命力 : +%d	SA
PARTY_BREAK_UP	解散組隊
PARTY_DO_YOU_ACCEPT	申請加入本組隊.
PARTY_DO_YOU_JOIN	同意組隊嗎？
PARTY_EXP_DISTRIBUTION_MODE	經驗值分配方式
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	等級分配
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	等級越高獲得的經驗值越多
PARTY_EXP_DISTRIBUTION_MODE_PARITY	平均分配
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	所有組隊成員平均分配經驗值
PARTY_HEAL_ALL_MEMBER	全員恢復
PARTY_INCREASE_AREA_150	組隊經驗值增加為原來的1.5倍	SNA
PARTY_INCREASE_AREA_200	組隊經驗值增加為原來的2倍	SNA
PARTY_LEAVE	退出組隊
PARTY_LONGTIME_BONUS_EXP	長時間維持組隊關係的獎勵，經驗值 : +%d%%	SA
PARTY_MEMBER_OFFLINE	[隊員已離線]
PARTY_RECALL_MEMBER	喚醒組隊成員
PARTY_REGEN_BONUS	體力 精力 恢復獎勵: +%d%%	SA
PARTY_REQUEST_DENIED	對方拒絕了您的申請.
PARTY_SET_ATTACKER	設為攻擊手
PARTY_SET_BERSERKER	設為狂戰手
PARTY_SET_BUFFER	設為緩衝手
PARTY_SET_DEFENDER	設為防禦手
PARTY_SET_NORMAL	解除能力
PARTY_SET_SKILL_MASTER	設為技能手
PARTY_SET_TANKER	設為拯救手
PARTY_SKILL_ATTACKER	攻擊手基本攻擊力 +%.0f
PARTY_SKILL_BERSERKER	狂戰手攻擊速度 +%.0f
PARTY_SKILL_BUFFER	緩衝手技能持續時間 +%.0f
PARTY_SKILL_DEFENDER	防禦手防禦力 +%.0f
PARTY_SKILL_HP_REGEN	生命力恢復速度 +%.0f%%
PARTY_SKILL_PARTY_AREA	組隊效果範圍增加 +%d%%
PARTY_SKILL_SKILL_MASTER	技能手最大精神力 +%.0f
PARTY_SKILL_SP_REGEN	精神力恢復速度 +%.0f%%
PARTY_SKILL_TANKER	拯救手最大生命力 +%.0f
PARTY_SKILL_WARP	可以復活組隊成員
PASSWORD_TITLE	倉庫密碼
PICK_ITEM_TITLE	要拿出的個數
PICK_MONEY_TITLE	要拿出的金額
PRIVATE_SHOP_CANNOT_SELL_ITEM	個人商店不能出售的物品
PRIVATE_SHOP_CLOSE_QUESTION	是否關閉個人商店?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	請輸入商店名
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	請輸入價格
PVP_LEVEL0	天王
PVP_LEVEL1	英雄
PVP_LEVEL2	至尊
PVP_LEVEL3	俠客
PVP_LEVEL4	平民
PVP_LEVEL5	浪人
PVP_LEVEL6	獄帝
PVP_LEVEL7	魔頭
PVP_LEVEL8	霸王
PVP_MODE_GUILD	PvP 公會模式
PVP_MODE_KILL	PvP 自由模式
PVP_MODE_NORMAL	PvP 和平模式
PVP_MODE_PROTECT	PvP 保護模式
PVP_MODE_REVENGE	PvP 善惡模式
PVP_OPTION_KILL	善惡模式
PVP_OPTION_NORMAL	和平模式
PVP_OPTION_PROTECT	保護模式
PVP_OPTION_REVENGE	自由模式
QUEST_APPEND	載入了新任務
QUEST_MIN	分
QUEST_SEC	秒
QUEST_TIMEOVER	超出時間限制
QUEST_UNLIMITED_TIME	沒有時間限制
QUEST_ZEROSEC	0秒
QUICKSLOT_REGISTER_DISABLE_ITEM	裝備無法放入快捷欄
RECEIVE_MESSAGE	收到%s給您發的資訊
REFINE_COST	升級費用%d兩
REFINE_DESTROY_WARNING	升級失敗導致裝備消失
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	升級失敗將導致物品消失,
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	確定改良嗎？
REFINE_DOWN_GRADE_WARNING	升級失敗導致裝備等級下降
REFINE_DO_YOU_SEPARATE_METIN	確定要把寶石取下嗎？
REFINE_FAILURE	升級失敗
REFINE_FAILURE_CAN_NOT_ATTACH	%s cannot be included in that Item.	
REFINE_FAILURE_EQUIP_ITEM	已佩帶的裝備無法鑲嵌
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	沒有可取的寶石
REFINE_FAILURE_NEED_BETTER_SCROLL	需要更好的改良物品
REFINE_FAILURE_NO_GOLD_SOCKET	There is no Gold socket to include %s .	
REFINE_FAILURE_NO_MORE_SOCKET	無法再打孔了
REFINE_FAILURE_NO_SOCKET0	%s 沒有寶石孔，不能鑲嵌
REFINE_FAILURE_SOCKET_DISABLE_ITEM	無法打孔的裝備
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	提高性能的物品
REFINE_SUCCESS	升級成功
REFINE_SUCCESS_PROBALITY	升級成功概率 : %d%%
REFINE_WARNING2	確定要升級嗎？
SAFEBOX_ERROR	密碼錯誤
SAFEBOX_SELL_DISABLE_SAFEITEM	此裝備無法放入倉庫
SAFEBOX_WRONG_PASSWORD	新密碼輸入錯誤
SCREENSHOT_SAVE1	現在的截圖
SCREENSHOT_SAVE2	儲存成功
SCREENSHOT_SAVE_FAILURE	保存截圖失敗
SECOND	秒
SELECT_CAN_NOT_DELETE	無法刪除角色
SELECT_CHANGED_NAME	修改角色名稱成功
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	此角色名已經存在
SELECT_CHANGE_FAILURE_STRANGE_INDEX	請重新嘗試一下
SELECT_CHANGE_FAILURE_STRANGE_NAME	角色名稱錯誤
SELECT_CHANGE_NAME_TITLE	更改角色名稱
SELECT_DELEING	正在刪除角色
SELECT_DELETED	刪除完畢
SELECT_DO_YOU_DELETE_REALLY	確定要刪除嗎？
SELECT_EMPTY_SLOT	可創建角色
SELECT_GM_NAME	運營
SELECT_INPUT_CHANGING_NAME	請選擇需要修改的角色名
SELECT_NOT_JOIN_GUILD	沒有所屬公會
SHOP_BUY_INFO	 選擇想要購買的物品，可以購買
SHOP_CANNOT_SELL_EQUIPMENT	無法賣掉以裝備的物品
SHOP_CANNOT_SELL_ITEM	該物品無法賣掉
SHOP_ERROR_UNKNOWN	商店產生錯誤: %s
SHOP_INVALID_POS	錯誤的裝備
SHOP_INVENTORY_FULL	物品欄內沒有空閒的位置
SHOP_NOT_ENOUGH_MONEY	金幣不夠
SHOP_SELL_INFO	選擇想要出售的物品，就可以賣掉
SHOP_SOLDOUT	缺少的庫存物品
SHOT_ERROR_UNKNOWN	遠端攻擊出現錯誤: %s
SKILL_BOHO	星雲陣
SKILL_BUDONG	荊棘
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	以後的技能,只能通過經驗才可以修煉
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	以後的技能,只能使用修煉書才可以修煉
SKILL_CHEONGEUN	千斤墜
SKILL_CRITICAL	2倍傷害
SKILL_ENCHANT_POISON	施毒
SKILL_EUNHYEONG	?形 
SKILL_FAINT	暈倒
SKILL_FIND_TRAP	尋找陷阱
SKILL_FIRE	九霄火焰
SKILL_FISHMIND	魚譜
SKILL_GAMJI	鷹目
SKILL_GEOMGYEONG	劍氣
SKILL_GEONGON	天地乾坤
SKILL_GICHEON	潛能
SKILL_GIGONG	專注
SKILL_GONGPO	恐懼
SKILL_GRADE_NAME_GRAND_MASTER	%s 最高等級
SKILL_GRADE_NAME_MASTER	%s 高等級
SKILL_GRADE_NAME_PERFECT_MASTER	%s 特級
SKILL_GROUP_ASSASSIN_1	鋒刀
SKILL_GROUP_ASSASSIN_2	百羿
SKILL_GROUP_HORSE	騎乘
SKILL_GROUP_SHAMAN_1	潛龍
SKILL_GROUP_SHAMAN_2	狂雷
SKILL_GROUP_SURA_1	幻舞
SKILL_GROUP_SURA_2	黑魔
SKILL_GROUP_WARRIOR_1	劍宗
SKILL_GROUP_WARRIOR_2	氣宗
SKILL_GWIGEOM	歸劍
SKILL_GYEONGGONG	輕功
SKILL_HEUKSIN	黑神守護
SKILL_HOSIN	魔盾
SKILL_HWAYEOM	火焰斬
SKILL_HYEOLMA	血掌
SKILL_INC_ATKSPD	增加攻擊速度
SKILL_INC_MOVSPD	增加移動速度
SKILL_INMA	天人合一
SKILL_JEOJU	夢魘
SKILL_JEONGEOP	淨化
SKILL_JEONGWI	戰魂
SKILL_JEONSINBANGEO	鐵布杉
SKILL_JEONSINGONGGYEOK	四面楚歌
SKILL_JEUNGCHE	神浴
SKILL_JEUNGHON	集中
SKILL_JEUNGRYEOK	天怒
SKILL_JEUNGSOK	神速
SKILL_JIGAM	神法
SKILL_JIPJUNG	集中防禦
SKILL_JUMAGAP	噬體
SKILL_JUMAGEOM	鬼怨
SKILL_KWAEGEOM	快劍
SKILL_KWAESOK	迅捷術
SKILL_LEGBOUND	束縛
SKILL_MUSA	武魂
SKILL_MUYEONG	巫靈陣
SKILL_NEED_EMPTY_BOTTLE	沒有空瓶子
SKILL_NEED_POISON_BOTTLE	沒有毒瓶
SKILL_ONLY_FOR_GUILD_WAR	只可以在公會戰爭中使用
SKILL_PABEOP	詛咒
SKILL_POWERFUL_STRIKE	暈擊對方
SKILL_SEOMGWANG	盲目
SKILL_SINCHAK	朦朧術
SKILL_SLEEP	催眠
SKILL_SLOW	緩慢
SKILL_STUN	擊暈
SKILL_SUHO	戰靈守護
SKILL_SUMMON_DESCRIPTION	召喚馬匹成功概率 : %d%%
SKILL_TOOLTIP_INT	智力
SKILL_TOOLTIP_LEVEL	等級
SKILL_TOXICDIE	中毒
SKILL_TOXICPOWER	增加毒的攻擊力
SKILL_TUSOK	束縛
SKILL_WONSIN	神目
SKILL_YONGSIN	龍神盾
STAT_MINUS_CON	體力分配 (剩餘分配點數: %d)
STAT_MINUS_DEX	敏捷分配 (剩餘分配點數: %d)
STAT_MINUS_INT	智力分配 (剩餘分配點數: %d)
STAT_MINUS_STR	力量分配 (剩餘分配點數: %d)
STAT_TOOLTIP_CON	提高生命力和防禦力
STAT_TOOLTIP_DEX	提高命中率和閃避率
STAT_TOOLTIP_INT	提高精神力和魔法傷害
STAT_TOOLTIP_STR	提高攻擊力
SYMBOLLIST_TITLE	公會旗幟登記
SYSTEM_OPTION_CPU_TILING_1	用CPU顯示模式，可以在低配置的電腦上流暢運行遊戲
SYSTEM_OPTION_CPU_TILING_2	遊戲顯示上出現問題時在`系統設置` 或者利用 `CONFIG.exe` 
SYSTEM_OPTION_CPU_TILING_3	重新設置為GPU 顯示模式
SYSTEM_OPTION_GPU_TILING_1	GPU 顯示模式在低配置的電腦上可能運行困難
SYSTEM_OPTION_GPU_TILING_2	遊戲顯示上出現問題時在`系統設置` 或者利用 `CONFIG.exe` 
SYSTEM_OPTION_GPU_TILING_3	重新設置為GPU 顯示模式
SYSTEM_OPTION_TILING_EXIT	為了設置顯示模式，必須關閉遊戲
TARGET_BUTTON_ACCEPT_FIGHT	同意對戰
TARGET_BUTTON_AVENGE	報仇
TARGET_BUTTON_BUILDING_DESTROY	破壞
TARGET_BUTTON_DISMOUNT	下馬
TARGET_BUTTON_EMOTION_ALLOW	同意使用動作
TARGET_BUTTON_EXCHANGE	交換
TARGET_BUTTON_EXCLUDE	踢出組隊
TARGET_BUTTON_EXIT_OBSERVER	結束觀戰
TARGET_BUTTON_FIGHT	對戰
TARGET_BUTTON_FRIEND	好友
TARGET_BUTTON_INVITE_GUILD	邀請入會
TARGET_BUTTON_INVITE_PARTY	邀請組隊
TARGET_BUTTON_LEAVE_PARTY	退出組隊
TARGET_BUTTON_REQUEST_ENTER_PARTY	申請組隊
